"Village!LilMermaid!Eric!VLG_Eric_010_Any_CompletedRequestDescription", "與亞力克交談"
"Village!LilMermaid!Eric!VLG_Eric_010_AvailableDescription", "你找回了亞力克……但他和你想像中不一樣。你得把這個訊息告訴愛麗兒。"
"Village!LilMermaid!Eric!VLG_Eric_010_CompletedStoryDescription", "你為亞力克做了美食幫他恢復體力，他講述了和愛麗兒感人故事。亞力克告訴你，烏蘇拉囚禁時他說了一件耐人尋味的秘密……但這個謎團只能留待日後解決。"
"Village!LilMermaid!Eric!VLG_Eric_010_DisplayName", "倒霉王子"
"Village!LilMermaid!Eric!VLG_Eric_010_Group01_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>需要我做些什麼？"
"Village!LilMermaid!Eric!VLG_Eric_010_Group01_Step01_BringItem01_StepDescription", "找到亞力克王子"
"Village!LilMermaid!Eric!VLG_Eric_010_Group01_Step01_ReadyDescription", "把<ActivityItem>悲催的亞力克</ActivityItem>帶給愛麗兒"
"Village!LilMermaid!Eric!VLG_Eric_010_Group02_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>需要我做些什麼？"
"Village!LilMermaid!Eric!VLG_Eric_010_Group02_Step02_TalkToCharacter01_StepDescription", "去找梅林幫忙"
"Village!LilMermaid!Eric!VLG_Eric_010_Group02_StoryDescription", "與愛麗兒交談後，你決定找梅林幫忙把亞力克重新變回人類。"
"Village!LilMermaid!Eric!VLG_Eric_010_Group03_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該做些什麼？"
"Village!LilMermaid!Eric!VLG_Eric_010_Group03_Step03_PlaceBuilding01_StepDescription", "在村莊裡放置亞力克的城堡"
"Village!LilMermaid!Eric!VLG_Eric_010_Group03_StoryDescription", "梅林給了你一個能讓英俊王子恢復原貌的法術。你需要在村莊裡為他建造一座屋子，找到一件他的心愛之物，然後讓愛麗兒呼喚他的名字，最後用真愛之吻封印法術。"
"Village!LilMermaid!Eric!VLG_Eric_010_Group04_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我現在該怎麼做？"
"Village!LilMermaid!Eric!VLG_Eric_010_Group04_StepDescription", "使用史高治標識來支付亞力克王子小屋的建築費"
"Village!LilMermaid!Eric!VLG_Eric_010_Group06_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我現在該怎麼做？"
"Village!LilMermaid!Eric!VLG_Eric_010_Group06_Step06_BringItem02_StepDescription", "搜索亞力克的城堡，尋找他的心愛之物。"
"Village!LilMermaid!Eric!VLG_Eric_010_Group06_Step06_ReadyDescription", "把{ItemName}交給愛麗兒"
"Village!LilMermaid!Eric!VLG_Eric_010_Group07_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該做些什麼？"
"Village!LilMermaid!Eric!VLG_Eric_010_Group07_Step07_UnlockCharacter01_StepDescription", "迎接亞力克來到夢幻星谷"
"Village!LilMermaid!Eric!VLG_Eric_010_Group10_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該做些什麼？"
"Village!LilMermaid!Eric!VLG_Eric_010_Group10_Step10_Listen01_StepDescription", "見證愛麗兒和亞力克的重聚"
"Village!LilMermaid!Eric!VLG_Eric_010_Group11_Step11_TalkToCharacter03_StepDescription", "與亞力克交談"
"Village!LilMermaid!Eric!VLG_Eric_010_Group11_StoryDescription", "成功了！亞力克變回了人類。"
"Village!LilMermaid!Eric!VLG_Eric_010_Group12_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>你需要什麼？"
"Village!LilMermaid!Eric!VLG_Eric_010_Group12_Step12_CookMeal01_StepDescription", "{ItemName}"
"Village!LilMermaid!Eric!VLG_Eric_010_Group12_Step12_CookMeal02_StepDescription", "{ItemName}"
"Village!LilMermaid!Eric!VLG_Eric_010_Group12_Step12_CookMeal03_StepDescription", "{ItemName}"
"Village!LilMermaid!Eric!VLG_Eric_010_Group12_Step12_StepDescription", "給亞力克做飯。他想要："
"Village!LilMermaid!Eric!VLG_Eric_010_Group13_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我能幫你做什麼？"
"Village!LilMermaid!Eric!VLG_Eric_010_Group13_Step13_BringItem03_StepDescription", "{ItemName}"
"Village!LilMermaid!Eric!VLG_Eric_010_Group13_Step13_BringItem04_StepDescription", "{ItemName}"
"Village!LilMermaid!Eric!VLG_Eric_010_Group13_Step13_BringItem05_StepDescription", "{ItemName}"
"Village!LilMermaid!Eric!VLG_Eric_010_Group13_Step13_ReadyDescription", "把美食交給亞力克。"
"Village!LilMermaid!Eric!VLG_Eric_010_Group13_Step13_StepDescription", "確保你的物品欄中有以下食物："
