"Village!LilMermaid!Eric!VLG_Eric_030_Any_CompletedRequestDescription", "與亞力克交談"
"Village!LilMermaid!Eric!VLG_Eric_030_AvailableDescription", "亞力克的生活走上了正軌，他有了新的計劃想和你談談。"
"Village!LilMermaid!Eric!VLG_Eric_030_CompletedStoryDescription", "指南針修好後，亞力克需要的東西都有了，但他想讓你看看他小屋裡的東西。"
"Village!LilMermaid!Eric!VLG_Eric_030_DisplayName", "回到海上"
"Village!LilMermaid!Eric!VLG_Eric_030_Group01_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該找誰聊聊？"
"Village!LilMermaid!Eric!VLG_Eric_030_Group01_Step01_TalkToCharacter01_StepDescription", "跟史高治交談"
"Village!LilMermaid!Eric!VLG_Eric_030_Group01_StoryDescription", "亞力克想再次回到海上，但他需要先更新地圖。你決定去問問他的前商業夥伴史高治。"
"Village!LilMermaid!Eric!VLG_Eric_030_Group02_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該做些什麼？"
"Village!LilMermaid!Eric!VLG_Eric_030_Group02_Step02_ReadyDescription", "把{ItemName}交給瓦力"
"Village!LilMermaid!Eric!VLG_Eric_030_Group02_Step02_StepDescription", "確保你的物品欄中有{ItemName}"
"Village!LilMermaid!Eric!VLG_Eric_030_Group04_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>需要我做些什麼？"
"Village!LilMermaid!Eric!VLG_Eric_030_Group04_Step04_ReadyDescription", "把{ItemName}交給亞力克"
"Village!LilMermaid!Eric!VLG_Eric_030_Group04_Step04_StepDescription", "從史高治那裡獲得{ItemName}"
"Village!LilMermaid!Eric!VLG_Eric_030_Group05_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該去哪兒？"
"Village!LilMermaid!Eric!VLG_Eric_030_Group05_Step05_BringItem04_StepDescription", "確保你的物品欄中有{ItemName}"
"Village!LilMermaid!Eric!VLG_Eric_030_Group05_Step05_ReadyDescription", "把{ItemName}交給瓦力"
"Village!LilMermaid!Eric!VLG_Eric_030_Group05_StoryDescription", "你把從史高治那裡拿到的新地圖交給了亞力克，但亞力克的指南針壞了。你決定去找瓦力幫忙。"
"Village!LilMermaid!Eric!VLG_Eric_030_Group06_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>接下來呢？"
"Village!LilMermaid!Eric!VLG_Eric_030_Group06_Step06_Possess02_StepDescription", "{ItemName}"
"Village!LilMermaid!Eric!VLG_Eric_030_Group06_Step06_Possess03_StepDescription", "{ItemName}"
"Village!LilMermaid!Eric!VLG_Eric_030_Group06_Step06_Possess04_StepDescription", "{ItemName}"
"Village!LilMermaid!Eric!VLG_Eric_030_Group06_Step06_StepDescription", "收集材料製作一個新的<ActivityItem>夢幻星光磁鐵</ActivityItem>"
"Village!LilMermaid!Eric!VLG_Eric_030_Group06_StoryDescription", "諮詢瓦力之後，你瞭解到亞力克的指南針需要一塊新的夢幻星光磁鐵。要靠你來製作了。"
"Village!LilMermaid!Eric!VLG_Eric_030_Group07_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該做些什麼？"
"Village!LilMermaid!Eric!VLG_Eric_030_Group07_Step07_CraftItem02_StepDescription", "在製作臺製作<ActivityItem>夢幻星光磁鐵</ActivityItem>"
"Village!LilMermaid!Eric!VLG_Eric_030_Group09_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>需要我做些什麼？"
"Village!LilMermaid!Eric!VLG_Eric_030_Group09_Step09_BringItem03_StepDescription", "確保你的物品欄中有{ItemName}"
"Village!LilMermaid!Eric!VLG_Eric_030_Group09_Step09_ReadyDescription", "把<ActivityItem>指南針</ActivityItem>交還給亞力克"
"Village!LilMermaid!Eric!VLG_Eric_030_Group10_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我們要去哪裡？"
"Village!LilMermaid!Eric!VLG_Eric_030_Group10_Step10_VisitArea01_StepDescription", "在亞力克的小屋裡和他見面"
"Village!LilMermaid!Eric!VLG_Eric_030_StartRequestButton", "<smallcaps>{title}</smallcaps><br>開始任務"
