"choose_role", "選擇{characterName}的交際獎勵："
"controller", "搖桿"
"Delivery_Dialogue_Text", "我想要訂購些物品"
"gender", "性別"
"get_your_avatar_code_title", "獲取代碼！"
"Give_Dialogue_Text", "我有東西要給你！"
"Give_Restaurant_Order", "我有你的訂單！"
"hint_capture", "拍攝"
"hint_changeCameraMode", "改變鏡頭模式"
"hint_hideUI", "隱藏UI"
"hint_imageformat", "改變圖片格式"
"hint_saveOnly", "僅儲存"
"hint_share", "儲存並分享（QR Code）"
"hint_shareOnly", "分享（QR Code）"
"hint_showUI", "顯示UI"
"hint_standCrouch", "站立/蹲下"
"hud_btn_discord", "Discord"
"hud_btn_exit", "離開"
"interactpreview_approach", "靠近"
"interactpreview_browse", "瀏覽"
"interactpreview_change", "切換"
"interactpreview_check", "檢視"
"interactpreview_eat", "吃下"
"interactpreview_embark", "上船"
"interactpreview_enter", "進入"
"interactpreview_exit", "離開"
"interactpreview_expandhouse", "擴建房子"
"interactpreview_harvest", "收穫"
"interactpreview_harvest_hold", "(長按)批量收穫"
"interactpreview_interact", "互動"
"interactpreview_investigate", "調查"
"interactpreview_lounge", "休息"
"interactpreview_open", "打開"
"interactpreview_openstorage", "打開倉庫"
"interactpreview_pet", "寵愛"
"interactpreview_pickup", "拾取"
"interactpreview_plant_seed", "種植"
"interactpreview_plant_seed_hold", "(長按)批量種植"
"interactpreview_read", "閱讀"
"interactpreview_remove", "清理"
"interactpreview_sit", "坐下"
"interactpreview_talk", "交談"
"interactpreview_unlock", "解鎖"
"interactpreview_upgrade", "升級"
"interactpreview_use", "使用"
"item_amount", "{input_amount} {input_itemName}"
"Locked_Hangout_Text", "達到2級友誼等級。"
"Locked_KeepPlaying_Text", "繼續遊戲，解鎖更多工。"
"settings_accessibility", "輔助功能"
"splash_all_rights_reserved", "© 2022 Gameloft. 保留所有權利。Gameloft和Gameloft標識是Gameloft的註冊商標。"
"Start_Hangout_Text", "我們出去玩吧！"
"Stop_Hangout_Text", "拜拜！下次再一起玩。"
"storefront_huge_moonstone_pack", "巨大包月亮石"
"subtitle_touch_of_magic3_3", "快速改變鏡頭角度"
"Visit_Aquatic_Text", "我們去看看你的小屋！"
"wireless_controller", "無線搖桿"
"currency_abbr_billion", "B"
"currency_abbr_million", "M"
"currency_abbr_thousand", "K"
"day_abbr_friday", "週五"
"day_abbr_monday", "週一"
"day_abbr_saturday", "週六"
"day_abbr_sunday", "週日"
"day_abbr_thursday", "週四"
"day_abbr_tuesday", "週二"
"day_abbr_wednesday", "週三"
"level_abbr_lvl", "等級"
"achievement_completed", "已完成"
"avatar_category_body_type", "身體"
"avatar_category_ears", "耳朵"
"avatar_category_eyes", "眼睛"
"avatar_category_facialhair", "鬍子"
"avatar_category_hairstyle", "髮型"
"avatar_category_jaw", "下巴"
"avatar_category_makeup", "妝容"
"avatar_category_mouth", "嘴巴"
"avatar_category_nose", "鼻子"
"avatar_category_skin_color", "膚色"
"avatar_category_wholeface", "臉型"
"avatar_no_item_category", "該類別下沒有物品。"
"avatar_presets", "體型"
"avatar_import_error_invalid_code", "無效的角色代碼。<br>檢查您的代碼並重試。"
"avatar_import_error_invalid_data", "該代碼的角色資料無效。"
"avatar_import_no_internet", "您必須線上才能匯入角色。請確保您已連線至網路！"
"avatar_import_success", "角色匯入成功"
"button_avatar_import", "匯入角色"
"button_goto_designs", "前往設計"
"import_avatar_already_imported", "您已經匯入了一個角色"
"import_avatar_desc", "輸入角色設計工具產生的角色代碼來匯入角色形象。<br><br>一個角色只能匯入一次。"
"import_avatar_error_desc", "由於空間不足，無法儲存「魔法之觸」設計，因此角色無法匯入。刪除部分設計並重試。"
"import_avatar_error_title", "匯入角色出錯"
"import_avatar_input_placeholder", "角色代碼"
"import_avatar_title", "輸入角色代碼"
"boat_fish_caught_title", "恭喜！你釣到了："
"boat_fish_title", "漁船"
"building_burning_state_duration_label", "燃燒時間"
"building_energy_cost_reduction_label", "精力消耗減少"
"building_fish_cap_label", "魚數量上限"
"building_fish_per_hour_label", "每小時魚數量"
"building_number_of_slots_label", "欄位數量"
"building_rare_ripple_unlock", "{Placeholder} Rare ripple unlock"
"building_refresh_cost_label", "重新整理<br>消耗"
