"button_meals", "餐食"
"button_sub_products", "副產品"
"cookbook_buff_cooking_timer", "加速{percent,P0}({hours,%h}小時)"
"cookbook_buff_fishing_reel", "釣竿繞線輪加速{percent,P0}({hours,%h}小時)"
"cookbook_buff_friendship", "友誼+{percent,P0}({hours,%h}小時)"
"cookbook_buff_growth_timer", "生長加速{percent,P0}({hours,%h}小時)"
"cooking_ingredient_number_exeeded_desc", "注意，每種食譜最多需要5樣食材。"
"cooking_ingredient_number_exeeded_title", "食材問題"
"cooking_missing_ingredient", "缺少食材："
"cooking_ready_in", "準備時間："
"cooking_refresh_in", "重新整理時間："
"cooking_remaining_tries", "剩餘嘗試次數：{number,D}"
"cooking_remi_not_enough_ingredients_desc", "糟糕！食材不足，無法按照此食譜烹飪。"
"cooking_remi_start_desc", "你準備好讓小米開始烹飪了嗎？"
"cooking_start_desc", "你準備好按照此食譜烹飪了嗎？"
"cooking_start_remi", "開始！"
"cooking_wrong_recipe_desc", "唉呀！食材不搭！再試試其他的。"
"new_recipe_label", "新食譜"
"pantry_add_ingredients", "新增食材"
"pantry_cookbook_title", "食譜"
"pantry_cooking_station", "小米的廚房"
"pantry_empty", "糟糕！你沒有此類食材。"
"pantry_fridge_title", "食品室"
"pantry_shop", "小米的商店"
"pantry_start_cooking", "開始烹飪"
"pantry_transfer", "轉移"
"pantry_transfer_all", "全部轉移"
"pantry_transfer_desc", "你要將這些物品轉移至食品室嗎？"
"select_recipe", "選擇食譜"
"history_title", "歷史"
"ingredient_fish", "魚"
"ingredient_fruit", "水果"
"ingredient_grain", "穀物"
"ingredient_legend_bad_ingredient", "非必要食材"
"ingredient_legend_empty", "空"
"ingredient_legend_good_ingredient", "必要食材"
"ingredient_legend_good_type", "通用食材"
"ingredient_other", "其他"
"ingredient_sea_food", "海鮮"
"ingredient_spice", "香料"
"ingredient_sub_product", "副產品"
"ingredient_vegetable", "蔬菜"
