"by_progressing", "取得進度可解鎖"
"desc_be_friend", "成為朋友！"
"harvest_gives", "收穫可獲取："
"label_all_day", "全天"
"label_grows_in", "生長時間："
"label_location", "尋找地點"
"label_not_here_today", "今天沒有"
"label_recipe", "配方"
"label_schedule", "出現時間："
"label_unlock_at_friendship", "需達到友誼等級"
"label_where_to_buy", "購買地點"
"label_where_to_find", "尋找地點"
"memory_shards_condition_cooking", "烹飪時尋找專屬記憶碎片"
"memory_shards_condition_digging", "挖掘時尋找專屬記憶碎片"
"memory_shards_condition_exploring", "探索星谷時尋找專屬記憶碎片"
"memory_shards_condition_feedingcritters", "餵食動物時尋找專屬記憶碎片"
"memory_shards_condition_fishing", "釣魚時尋找專屬記憶碎片"
"memory_shards_condition_gardening", "耕種時尋找專屬記憶碎片"
"memory_shards_condition_mining", "挖礦時尋找專屬記憶碎片"
"memory_shards_condition_removingblockers", "清除障礙時尋找專屬記憶碎片"
"memory_shards_condition_removingweeds", "清除小型暗夜荊棘時尋找專屬記憶碎片"
"memory_shards_condition_wateringflowers", "給花澆水時尋找專屬記憶碎片"
"or_more", "或以上"
"tab_title_characters", "角色"
"tab_title_clothing", "服裝系列"
"tab_title_crafting", "製作"
"tab_title_critters", "動物"
"tab_title_crops", "食材"
"tab_title_fish", "魚"
"tab_title_foraging", "採集物"
"tab_title_furniture", "家具系列"
"tab_title_meals", "餐食"
"tab_title_memories", "回憶"
"tab_title_minerals", "寶石"
