"01_Mickey!Set01!Lighting01_DisplayName", "米奇吊燈"
"01_Mickey!Set01!Rug01_DisplayName", "滑稽裝飾地毯"
"01_Mickey!Set01!Seating01_DisplayName", "L型沙發"
"01_Mickey!Set01!Seating02_DisplayName", "藍色餐椅"
"01_Mickey!Set01!Seating03_DisplayName", "簡約扶手椅"
"01_Mickey!Set01!Table01_DisplayName", "藍色餐桌"
"01_Mickey!Set01!Table02_DisplayName", "三角形咖啡桌"
"01_Mickey!Set02!Art01_DisplayName", "米奇畫"
"01_Mickey!Set02!Art02_DisplayName", "甜蜜抽像畫"
"01_Mickey!Set02!Art03_DisplayName", "米奇相片夾"
"01_Mickey!Set02!Bed01_DisplayName", "可愛蝴蝶結床"
"01_Mickey!Set02!Foliage01_DisplayName", "帶底座的仙人掌"
"01_Mickey!Set02!Foliage02_DisplayName", "米奇王冠植物"
"01_Mickey!Set02!Lighting01_DisplayName", "床頭霓虹燈裝飾"
"01_Mickey!Set02!Storage01_DisplayName", "米奇抽屜櫃"
"01_Mickey!Set02!Table01_DisplayName", "滑稽床頭桌"
"01_Mickey!Set03!Bowl01_DisplayName", "蘋果碗"
"01_Mickey!Set03!Carpet01_DisplayName", "紫色橢圓形地毯"
"01_Mickey!Set03!Chair01_DisplayName", "小椅子"
"01_Mickey!Set03!Chessboard01_DisplayName", "格子棋盤"
"01_Mickey!Set03!Clock01_DisplayName", "米奇掛鐘"
"01_Mickey!Set03!Cupboard01_DisplayName", "頂部壁櫃"
"01_Mickey!Set03!Fridge01_DisplayName", "帶冰箱貼的冰箱"
"01_Mickey!Set03!Fridge02_DisplayName", "簡約冰箱"
"01_Mickey!Set03!Kettle01_DisplayName", "茶壺"
"01_Mickey!Set03!Kitchenbox01_DisplayName", "櫃子"
"01_Mickey!Set03!Kitchenbox02_DisplayName", "轉角櫃"
"01_Mickey!Set03!Oven01_DisplayName", "烤箱"
"01_Mickey!Set03!Sink01_DisplayName", "盥洗臺"
"01_Mickey!Set03!Table01_DisplayName", "小桌子"
"01_Mickey!Set03!Trashbox01_DisplayName", "垃圾箱"
"01_Mickey!Set03!Window01_DisplayName", "可愛窗戶"
"01_Mickey!Set04!Armchair02_DisplayName", "舒適單人沙發"
"01_Mickey!Set04!Armoir01_DisplayName", "米奇手套櫃"
"01_Mickey!Set04!Bed01_DisplayName", "迷人的床"
"01_Mickey!Set04!Broom01_DisplayName", "魔法掃帚"
"01_Mickey!Set04!Dressstand01_DisplayName", "服裝模特"
"01_Mickey!Set04!Flower02_DisplayName", "壁掛植物"
"01_Mickey!Set04!Lamp01_DisplayName", "古怪檯燈"
"01_Mickey!Set04!Lamp05_DisplayName", "小床頭燈"
"01_Mickey!Set04!Mirror01_DisplayName", "米奇鏡子"
"01_Mickey!Set04!Phone01_DisplayName", "老式電話"
"01_Mickey!Set04!Photoframe02_DisplayName", "米奇圓形相框"
"01_Mickey!Set04!Photoframe03_DisplayName", "米奇相框"
"01_Mickey!Set04!Table04_DisplayName", "基礎抽屜櫃"
"01_Mickey!Set04!Table05_DisplayName", "木製茶幾"
"01_Mickey!Set04!Table06_DisplayName", "可愛床頭櫃"
"01_Mickey!Set05!Armchair01_DisplayName", "圓點單人沙發"
"01_Mickey!Set05!Bookshelf01_DisplayName", "木製書架"
"01_Mickey!Set05!Bowl02_DisplayName", "漿果碗"
"01_Mickey!Set05!Bowl03_DisplayName", "餅乾碗"
"01_Mickey!Set05!Dartsboard01_DisplayName", "飛鏢靶"
"01_Mickey!Set05!Fireplace01_DisplayName", "舒適壁爐"
"01_Mickey!Set05!Flower01_DisplayName", "高大盆栽植物"
"01_Mickey!Set05!Lamp02_DisplayName", "古怪落地燈"
"01_Mickey!Set05!Lamp04_DisplayName", "米奇壁燈"
"01_Mickey!Set05!Photoframe01_DisplayName", "小相框米奇照"
"01_Mickey!Set05!Sofa01_DisplayName", "舒適沙發"
"01_Mickey!Set05!Table02_DisplayName", "原木邊桌"
"01_Mickey!Set05!Table03_DisplayName", "圓角咖啡桌"
"01_Mickey!Set05!Table07_DisplayName", "長方形咖啡桌"
"01_Mickey!Set05!Vase01_DisplayName", "彩繪花瓶"
"01_Mickey!Set06!CozyWindow01_DisplayName", "節日窗戶"
"01_Mickey!Set06!CozyWindow02_DisplayName", "覆雪節日窗戶"
"01_Mickey!Set06!FestiveHearth01_DisplayName", "溫馨節日爐子"
"01_Mickey!Set06!FestiveTable01_DisplayName", "節日餐桌"
"01_Mickey!Set06!SantaSleigh01_DisplayName", "滿載禮物的聖誕雪橇"
"01_Mickey!Set06!TreeOfCheer01_DisplayName", "精美節日慶典樹"
"01_Mickey!Set06!TreeOfCheer02_DisplayName", "節日慶典樹"
"01_Mickey!Set06!WallGarland01_DisplayName", "節日裝飾"
"01_Mickey!Set06!WreathPost01_DisplayName", "節日裝飾柱子"
"01_Mickey!Set60!fMickey01_DisplayName", "迷人噴泉"
"01_Mickey!Set60!fScrooge01_DisplayName", "史高治的備用保險箱"
"01_Mickey!Setless!Bench01_DisplayName", "紅色長椅"
"01_Mickey!Setless!Carpet02_DisplayName", "紅色橢圓形地毯"
"01_Mickey!Setless!Carpet03_DisplayName", "圓形地毯"
"01_Mickey!Setless!Carpet04_DisplayName", "長方形地毯"
"01_Mickey!Setless!ElegantGazebo01_DisplayName", "優雅涼亭"
"01_Mickey!Setless!Latrine01_DisplayName", "外屋"
"01_Mickey!Setless!Mailbox01_DisplayName", "郵筒"
"01_Mickey!Setless!MickeyPumpkin01_DisplayName", "米奇傑克南瓜燈"
"01_Mickey!Setless!MickeyPumpkin02_DisplayName", "米奇南瓜"
"01_Mickey!Setless!PartyBanner01_DisplayName", "派對橫幅"
"01_Mickey!Setless!Photoframe06_DisplayName", "方形相框"
"01_Mickey!Setless!Photoframe07_DisplayName", "圓形相框"
"01_Mickey!Setless!ScroogeSign01_DisplayName", "史高治商店標識牌"
"01_Mickey!Setless!ScroogeWallSign01_DisplayName", "史高治牆上招牌"
"01_Mickey!Setless!VillageClock01_DisplayName", "優雅城市廣場鐘"
"01_Mickey!Setless!VillageClock02_DisplayName", "鄉村鐘樓"
"01_Mickey!Setless!VintageChest01!color01_DisplayName", "淺色木質復古箱"
"01_Mickey!Setless!VintageChest01!color02_DisplayName", "深色木質復古箱"
"01_Mickey!Setless!WaterTower01!color01_DisplayName", "米奇水塔"
"02_BeautyBeast!Set01!Bed01_DisplayName", "金色床"
"02_BeautyBeast!Set01!Lighting01_DisplayName", "彩色玻璃燈"
"02_BeautyBeast!Set01!Seating01_DisplayName", "天鵝絨軟墊凳"
"02_BeautyBeast!Set01!Seating02_DisplayName", "雙人小沙發"
"02_BeautyBeast!Set01!Table01_DisplayName", "優雅床頭櫃"
"02_BeautyBeast!Set01!Table02_DisplayName", "金色梳妝鏡"
"02_BeautyBeast!Set01!Window01_DisplayName", "彩色玻璃窗"
"02_BeautyBeast!Set02!Foliage01_DisplayName", "灌木造型廣場"
"02_BeautyBeast!Set02!Misc01_DisplayName", "房間屏風"
"02_BeautyBeast!Set02!Misc02_DisplayName", "多層噴泉"
"02_BeautyBeast!Set02!Misc03!Color01_DisplayName", "紅金色天使豎琴"
"02_BeautyBeast!Set02!Misc03!Color02_DisplayName", "鑲金象牙天使豎琴"
"02_BeautyBeast!Set02!Misc03!Color03_DisplayName", "鑲綠青銅天使豎琴"
"02_BeautyBeast!Set02!Misc03!Color04_DisplayName", "鑲金黑色天使豎琴"
"02_BeautyBeast!Set02!Misc03!Color05_DisplayName", "鑲金青銅天使豎琴"
"02_BeautyBeast!Set02!Misc04_DisplayName", "野餐毯"
"02_BeautyBeast!Set02!Seating01_DisplayName", "軟墊椅"
"02_BeautyBeast!Set02!Table01_DisplayName", "雕花圓桌"
"02_BeautyBeast!Set03!Chandelier01_DisplayName", "壁掛式燭臺"
"02_BeautyBeast!Set03!CouchTable01_DisplayName", "大咖啡桌"
"02_BeautyBeast!Set03!Door01_DisplayName", "豪華雙開門"
"02_BeautyBeast!Set03!DrapedBed01_DisplayName", "玫瑰四柱床"
"02_BeautyBeast!Set03!Misc02_DisplayName", "羽毛筆和墨水"
"02_BeautyBeast!Set03!Pot01_DisplayName", "大號大理石花瓶"
"02_BeautyBeast!Set03!Table01_DisplayName", "書桌"
"02_BeautyBeast!Set03!TeaTrolly01_DisplayName", "茶具車"
"02_BeautyBeast!Set03!Utility01_DisplayName", "金色浴缸"
"02_BeautyBeast!Set03!Window01_DisplayName", "拱形高窗"
"02_BeautyBeast!Set04!Art02_DisplayName", "繪畫組合"
"02_BeautyBeast!Set04!Art03_DisplayName", "編織掛毯"
"02_BeautyBeast!Set04!Chair01_DisplayName", "優雅單人沙發"
"02_BeautyBeast!Set04!Globe01_DisplayName", "地球儀"
"02_BeautyBeast!Set04!Misc02_DisplayName", "掛衣架"
"02_BeautyBeast!Set04!Misc03_DisplayName", "一排書"
"02_BeautyBeast!Set04!Seating04_DisplayName", "精美餐椅"
"02_BeautyBeast!Set04!Sofa01_DisplayName", "植絨小沙發"
"02_BeautyBeast!Set04!StatueLion01_DisplayName", "獅子雕像"
"02_BeautyBeast!Set04!Table01_DisplayName", "桃花心木桌"
"02_BeautyBeast!Set60!AntlerChair01_DisplayName", "加斯頓鹿角椅"
"02_BeautyBeast!Setless!AntlerBust01_DisplayName", "麋鹿木雕"
"02_BeautyBeast!Setless!Frame01_DisplayName", "風景畫"
"02_BeautyBeast!Setless!Frame02_DisplayName", "長橋畫"
"02_BeautyBeast!Setless!Frame03_DisplayName", "浪漫畫"
"02_BeautyBeast!Setless!Shield01_DisplayName", "裝飾盾"
"03_WallE!Set01!HangShelf01_DisplayName", "懸掛架"
"03_WallE!Set01!Lighting01_DisplayName", "工業吊燈"
"03_WallE!Set01!Misc01_DisplayName", "懸掛平底鍋"
"03_WallE!Set01!Seating01_DisplayName", "自行車座凳"
"03_WallE!Set01!Table01_DisplayName", "儲物櫃"
"03_WallE!Set01!Table02_DisplayName", "拖拉機桌"
"03_WallE!Set01!Utility01_DisplayName", "木製水槽"
