"Any_Building", "任意建築"
"Any_Character", "任意角色"
"Any_Clothing", "任意服裝"
"Any_Crop", "任意作物"
"Any_Currency", "任意貨幣"
"Any_Ephemeral", "任意植物"
"Any_Fish", "任意魚"
"Any_Flower", "任意花"
"Any_Furniture", "任意家具"
"Any_Ingredient", "任意食材"
"Any_Insect", "任意昆蟲"
"Any_LootPresent", "任意禮物"
"Any_Meal", "任意餐食"
"Any_Recipe", "任意食譜"
"Any_Seed", "任意種子"
"Decorate_Location_AnywhereInTheVillage", "<Location>村莊</Location>"
"Decorate_Location_PlayerHouse", "你的<Location>小屋</Location>"
"Location_Anywhere", "<Location>任意地點</Location>"
"Location_Castle", "<Location>城堡</Location>"
"Location_Other_WishingWell", "<Location>許願井</Location>"
"Location_PlayerHouse", "<Location>你的小屋</Location>"
"TargetItem_ActivityItemType_Crop", "作物"
"TargetItem_ActivityItemType_Default", "預設"
"TargetItem_ActivityItemType_Insect", "昆蟲"
"TargetItem_ActivityItemType_Meal", "餐食"
"TargetItem_ActivityItemType_Seed", "種子"
"TargetItem_Complexity_Lavish", "豐盛"
"TargetItem_Complexity_Simple", "簡單"
"TargetItem_CropType_Any", "任意"
"TargetItem_CropType_Fruit", "水果"
"TargetItem_CropType_Vegetable", "蔬菜"
"TargetItem_FishConstraint_Any", "任意"
"TargetItem_FishConstraint_Early", "早"
"TargetItem_FishConstraint_Late", "晚"
"TargetItem_FlowerRarity_Any", "任意"
"TargetItem_FlowerRarity_Common", "普通"
"TargetItem_FlowerRarity_Rare", "稀有"
"TargetItem_FlowerRarity_Uncommon", "特殊"
"TargetItem_IngredientType_Fish", "魚類"
"TargetItem_IngredientType_Fruit", "水果"
"TargetItem_IngredientType_Grain", "穀物"
"TargetItem_IngredientType_None", "無"
"TargetItem_IngredientType_Other", "其他"
"TargetItem_IngredientType_SeaFood", "海鮮"
"TargetItem_IngredientType_Spice", "香料"
"TargetItem_IngredientType_SubProduct", "副產品"
"TargetItem_IngredientType_Vegetable", "蔬菜"
"TargetItem_MealType_Any", "任意"
"TargetItem_MealType_Meal", "餐食"
"TargetItem_MealType_SubProduct", "副產品"
"TargetItem_Mood_Calm", "冷靜"
"TargetItem_Mood_Playful", "有趣"
"TargetItem_Normality_Familiar", "隨和"
"TargetItem_Normality_Wondrous", "奇妙"
"TargetItem_Sturdiness_Delicate", "嬌弱"
"TargetItem_Sturdiness_Strong", "強壯"
"VillageArea_Beach", "<Area>炫麗海灘</Area>"
"VillageArea_Cliff", "<Area>霜寒高地</Area>"
"VillageArea_DarkMountains", "<Area>遺忘之地</Area>"
"VillageArea_Forest", "<Area>勇氣森林</Area>"
"VillageArea_Meadow", "<Area>寧靜草地</Area>"
"VillageArea_Savannah", "<Area>日照高原</Area>"
"VillageArea_Urban", "<Area>廣場</Area>"
"VillageArea_Wetland", "<Area>信仰林地</Area>"
