"Diaries!BiomeEntries!Beach001_DescriptionText", "我喜歡站在海灘上，遙望地平線，一邊等待一邊想，會是哪位新朋友乘著船向我駛來。"
"Diaries!BiomeEntries!Beach002_DescriptionText", "有時，我眺望大海，想像著去星谷之外的地方。我一定能發現一個嶄新的世界。"
"Diaries!BiomeEntries!Dark001_DescriptionText", "這個黑暗之地位於星谷的邊緣。我每次路過時，都會感覺內心充滿了悲傷和寒冷。或許我們可以裝扮一下這裡，讓它變得亮堂一點……"
"Diaries!BiomeEntries!Forest001_DescriptionText", "森林中充滿了秘密與生機。有地面上敏捷安靜的浣熊，樹間忙碌揮動翅膀的鳥兒，還有在黑暗中悄無聲息行動的貓頭鷹和野貓。"
"Diaries!BiomeEntries!Meadow001_DescriptionText", "草地是個美麗而寧靜的地方，到處都是柔軟的綠草和愜意的微風。非常適合野餐或散步。"
"Diaries!BiomeEntries!Savannah001_DescriptionText", "日照高原今天酷熱無比。我得記住要遠離大象墓地……那地方讓我毛骨悚然。"
"Diaries!BiomeEntries!Tundra001_DescriptionText", "這裡銀光閃耀的雪非常美麗。可是嗚嗚——實在太冷了！下次來探險我一定要記得帶上暖和的外套、帽子和手套。"
"Diaries!BiomeEntries!Urban001_DescriptionText", "廣場是夢幻星谷的中心地帶。星谷的居民們會到這裡來互相幫助，或是慶祝所有值得慶祝的事！"
"Diaries!PreForgettingEntries!Arendelle001_DescriptionText", "這座城堡是艾莎的住所。等等，不對。只有她妹妹住在那兒。是叫安妮嗎？還是安吉拉？我怎麼想不起她的名字了？"
"Diaries!PreForgettingEntries!Generic001_DescriptionText", "我當然很愛星谷。這份愛永遠不會變。只是最近……有點忙，要做的事太多了……"
"Diaries!PreForgettingEntries!Generic002_DescriptionText", "……我發誓這附近肯定有座小屋。它是誰的呢？肯定是我朋友的；我怎麼……"
"Diaries!VillageEntries!Atlantis001_DescriptionText", "我學會了一門新的語言……超級簡單，並且你還可以用它快速表達很複雜的想法。我以後就用它來寫日記了。"
"Diaries!VillageEntries!Donald001_DescriptionText", "唐老鴨骨子裡就是個探險家。一日為航海家，終身為……有時我都擔心他會因為走太遠而遇上麻煩，但如果真這樣的話，我肯定會去找他的。"
"Diaries!VillageEntries!Garden001_DescriptionText", "我一直覺得這是個建花園的好地方。"
"Diaries!VillageEntries!Goofy001_DescriptionText", "……很高興見到高飛。他總是有很多好聽的話和……很多愚蠢的主意，但他都是出於好心，所以當他笑的時候，我也忍不住會笑。"
"Diaries!VillageEntries!IceCavern001_DescriptionText", "這個冰窟裡有很多秘密等著我們去發現。我能感覺到。要是我認識能塑造冰雪的人就好了……"
"Diaries!VillageEntries!Maui001_DescriptionText", "……非常感謝毛伊為村莊所做的一切。他毫不猶豫地自誇了起來。不過，確實誇得沒錯。"
"Diaries!VillageEntries!Merlin001_DescriptionText", "我做重大決定時總是會諮詢梅林。畢竟巫師……經常告訴我要相信自己的判斷，我認為這確實是個很好的建議。"
"Diaries!VillageEntries!Mickey001_DescriptionText", "最喜歡看米奇和米妮在一起了。他們總是含情脈脈地看著對方，臉上閃耀著愛的光芒。呃，他們大部分時間都是這樣的，但偶爾也會爭吵，我猜這也是愛的一部分。"
"Diaries!VillageEntries!Mickey002_DescriptionText", "……他總是在人前裝沒事，但我能感覺到他的心都碎了。米妮是他的伴侶，現在她失蹤了，而且還不知道多久才能回來……"
"Diaries!VillageEntries!Minnie001_DescriptionText", "……真是個野餐的好日子，米妮說她做了巧克力餅乾，我們可以……一塊新鮮的麵包加上從花園裡摘來的蘋果，米奇和我就可以……"
"Diaries!VillageEntries!Rapunzel001_DescriptionText", "我很擔心樂佩。葛索看起來像個好媽媽，但她的控制慾實在太強！我想樂佩需要屬於自己的空間。至少有時候可以出塔逛逛！"
"Diaries!VillageEntries!Restaurant001_DescriptionText", "我剛吃了頓超級美味的飯……小米真的是在菜單上下了功夫的。他說他正在考慮增加菜餚品種……要把星谷各個區域的菜都加進菜單裡。"
"Diaries!VillageEntries!Scar001_DescriptionText", "提醒自己：山洞裡有一頭極度痛苦的獅子。"
"Diaries!VillageEntries!Scrooge001_DescriptionText", "……說服了著名的史高治來我們村莊開店。他計劃要……而且他非常確定，這是項不錯的投資。"
"Diaries!VillageEntries!ScroogeShop001_DescriptionText", "……近來最搞笑的競爭……史高治摳破腦袋也想不通為啥高飛的貨攤更賺錢……高飛想要幫忙，但是卻越幫越忙，真是太搞笑了。"
"Diaries!VillageEntries!Sebastian001_DescriptionText", "賽巴斯丁是個了不起的作曲家。 我很想讓他來星谷當皇家作曲家，但我知道他永遠不會離開特里同國王！至少他來的時候，可以順便給我們指揮下音樂會。"
"Diaries!VillageEntries!Timon001_DescriptionText", "……總是勸我吃蟲子。 我告訴丁滿，我更喜歡麵包或香蕉，但他堅持說，只要我試著吃下甲蟲，我就肯定會愛上的……"
"Diaries!VillageEntries!Ursula001_DescriptionText", "烏蘇拉搬到海灘來了。梅林很擔心，但我倒覺得這是好事。俗話說得好：遠親不如近朋友，海洋女巫不如關在近山洞。"
"Diaries!VillageEntries!Walle001_DescriptionText", "瓦力的話有點難懂，但值得去琢磨。那個小機器人有顆寬大的心。他的「喔」和「啊」有很多細微的差別！"
"Diaries!VillainEntries!Loneliness001_DescriptionText", "孤獨令人感到安全。如果我一個人，就不用再擔心有人離開我了。"
"Diaries!VillainEntries!Loneliness002_DescriptionText", "我感覺我體內有個洞。不。我覺得我整個人就是個洞，只剩下一小部分還是曾經的我了。那部分僅夠用來感受孤獨。"
"Diaries!VillainEntries!Loneliness003_DescriptionText", "孤獨是鋒利的。它像玻璃一樣刺痛我的手指。但它比碎玻璃更可怕，因為我看不見它，也無法避開它。"
"Diaries!VillainEntries!Loneliness004_DescriptionText", "孤獨是冰冷的。我的心已經因為孤獨而變得麻木。我的思想也變得緩慢而遲鈍。如果能找人說說話，我應該能感到溫暖些。但是這裡空無一人。"
"Diaries!VillainEntries!NightThorns001_DescriptionText", "我在一棵樹下睡著了。當我醒來時，我發現自己動不了了。紫色的藤蔓爬滿我全身，它們深深刺痛著我，但這依然沒有孤獨來得可怕，所以我努力掙脫了。"
"Diaries!VillainEntries!Sleepless001_DescriptionText", "我不能睡覺。藤蔓會在我周圍生長。我要是行走，它們就會順著我的腳步生長。"
"DreamlightValley!Diary!VLG_Wood_040_CarouselDiary_DescriptionText", "……玩具箱裡裝滿了村民們的童年紀念品……為旋轉木馬的燈供電……很高興看到梅林的魔法起作用……"
"DreamlightValley!Diary01_DescriptionText", "……時間不多了……無論如何，我必須保護……梅林會知道……怎麼做……"
