"Village!Frozen!Kristoff!VLG_Kris_040_Any_CompletedRequestDescription", "跟克里斯托夫交談。"
"Village!Frozen!Kristoff!VLG_Kris_040_DisplayName", "破損的雪橇"
"Village!Frozen!Kristoff!VLG_Kris_040_Group01_Step01_RemoveBlocker01_StepDescription", "把<ActivityItem>克里斯托夫的雪橇</ActivityItem>從冰里弄出來"
"Village!Frozen!Kristoff!VLG_Kris_040_Group02_Step02_Possess02_StepDescription", "<ActivityItem>纖維</ActivityItem>"
"Village!Frozen!Kristoff!VLG_Kris_040_Group02_Step02_Possess06_StepDescription", "<ActivityItem>{ItemName}</ActivityItem>"
"Village!Frozen!Kristoff!VLG_Kris_040_Group02_Step02_StepDescription", "收集修補材料："
"Village!Frozen!Kristoff!VLG_Kris_040_Group03_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我需要什麼？"
"Village!Frozen!Kristoff!VLG_Kris_040_Group03_Step03_Possess04_StepDescription", "從克里斯托夫小屋的書房裡找到<ActivityItem>《冰雪一本通：如何修理你的雪橇》</ActivityItem>這本書"
"Village!Frozen!Kristoff!VLG_Kris_040_Group03_StoryDescription", "雖然<ActivityItem>雪橇</ActivityItem>被從冰裡挖了出來，克里斯托夫還是沒法用它，因為它已經壞掉了。你決定幫忙修補雪橇，可是需要參考修理手冊。"
"Village!Frozen!Kristoff!VLG_Kris_040_Group04_Step04_CraftItem01_StepDescription", "在製作臺修<ActivityItem>雪橇</ActivityItem>"
"Village!Frozen!Kristoff!VLG_Kris_040_Group06_Step06_BringItem05_StepDescription", "獲得<ActivityItem>雪橇</ActivityItem>並把它帶給克里斯托夫"
"Village!Frozen!Kristoff!VLG_Kris_040_Group06_Step06_ReadyDescription", "把<ActivityItem>雪橇</ActivityItem>帶給克里斯托夫"
"Village!Frozen!Kristoff!VLG_Kris_040_Group06_StoryDescription", "修好<ActivityItem>雪橇</ActivityItem>破損的部件後，就可以把完好如初的雪橇帶去拿給克里斯托夫了。"
"Village!Frozen!Kristoff!VLG_Kris_040_Group07_Step07_TalkToCharacter02_StepDescription", "讓克里斯托夫看看他破損的<ActivityItem>雪橇</ActivityItem>"
"Village!Frozen!Kristoff!VLG_Kris_040_Group08_Step08_BringItem06_StepDescription", "<ActivityItem>鐵塊</ActivityItem>"
"Village!Frozen!Kristoff!VLG_Kris_040_Group08_Step08_StepDescription", "為克里斯托夫獲取以下材料："
"Village!Frozen!Kristoff!VLG_Kris_040_Group09_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>你說你的<ActivityItem>雪橇</ActivityItem>是在哪裡弄丟的？"
"Village!Frozen!Kristoff!VLG_Kris_040_Group09_Step09_FollowCharacter01_StepDescription", "跟克里斯托夫去找他的<ActivityItem>雪橇</ActivityItem>"
"Village!Frozen!Kristoff!VLG_Kris_040_Group09_StoryDescription", "他在霜寒高地幹活時，<ActivityItem>雪橇</ActivityItem>卡在了冰縫裡，他希望你能把它弄出來。"
"Village!Frozen!Kristoff!VLG_Kris_040_Group10_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>現在怎麼辦？"
"Village!Frozen!Kristoff!VLG_Kris_040_Group10_Step11_Possess05_StepDescription", "找回<ActivityItem>雪橇</ActivityItem>"
