"Village!ToyStory!Woody!VLG_Wood_020_Any_CompletedRequestDescription", "和胡迪交談"
"Village!ToyStory!Woody!VLG_Wood_020_AvailableDescription", "胡迪準備開始修葺旋轉木馬，需要你的幫助。你決定去問問克里斯托夫的建議。"
"Village!ToyStory!Woody!VLG_Wood_020_CompletedStoryDescription", "收集到抓娃娃機的所有部件和外星人玩具後，你把它們交給胡迪。"
"Village!ToyStory!Woody!VLG_Wood_020_DisplayName", "修修補補"
"Village!ToyStory!Woody!VLG_Wood_020_Group01_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該和誰交談？"
"Village!ToyStory!Woody!VLG_Wood_020_Group01_Step01_TalkToCharacter01_StepDescription", "去見克里斯托夫"
"Village!ToyStory!Woody!VLG_Wood_020_Group02_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我們需要什麼？"
"Village!ToyStory!Woody!VLG_Wood_020_Group02_Step02_Possess01_StepDescription", "{ItemName}"
"Village!ToyStory!Woody!VLG_Wood_020_Group02_Step02_Possess02_StepDescription", "{ItemName}"
"Village!ToyStory!Woody!VLG_Wood_020_Group02_Step02_Possess03_StepDescription", "{ItemName}"
"Village!ToyStory!Woody!VLG_Wood_020_Group02_Step02_Possess04_StepDescription", "{ItemName}"
"Village!ToyStory!Woody!VLG_Wood_020_Group02_Step02_StepDescription", "收集以下材料："
"Village!ToyStory!Woody!VLG_Wood_020_Group02_StoryDescription", "克里斯托夫有一個很棒的主意：製作旋轉木馬修理工具。你開始尋找製作材料。"
"Village!ToyStory!Woody!VLG_Wood_020_Group03_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>你需要什麼？"
"Village!ToyStory!Woody!VLG_Wood_020_Group03_Step03_CraftItem01_StepDescription", "製作<ActivityItem>旋轉木馬修理工具<ActivityItem>"
"Village!ToyStory!Woody!VLG_Wood_020_Group04_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我們要去哪裡？"
"Village!ToyStory!Woody!VLG_Wood_020_Group04_Step04_ReadyDescription", "把<ActivityItem>旋轉木馬修理工具<ActivityItem>帶給胡迪"
"Village!ToyStory!Woody!VLG_Wood_020_Group04_Step04_StepDescription", "確保你的物品欄中有<ActivityItem>旋轉木馬修理工具<ActivityItem>"
"Village!ToyStory!Woody!VLG_Wood_020_Group05_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我能做些什麼？"
"Village!ToyStory!Woody!VLG_Wood_020_Group05_Step05_FollowCharacter01_StepDescription", "跟隨胡迪前往旋轉木馬"
"Village!ToyStory!Woody!VLG_Wood_020_Group05_Step05_FollowCharacter01_TalkToDescription", "和胡迪交談"
"Village!ToyStory!Woody!VLG_Wood_020_Group06_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該和誰交談？"
"Village!ToyStory!Woody!VLG_Wood_020_Group06_Step06_TalkToCharacter02_StepDescription", "和瓦力交談"
