"Village!ToyStory!Woody!VLG_Wood_030_Any_CompletedRequestDescription", "和胡迪交談"
"Village!ToyStory!Woody!VLG_Wood_030_AvailableDescription", "胡迪想起來更多和外星人玩具有關的事情，他現在非常擔心。它們從未在村莊生活過，以前一直都待在抓娃娃機裡。他想幫助它們回家。"
"Village!ToyStory!Woody!VLG_Wood_030_CompletedStoryDescription", "根據太空騎警的線索，你救回了所有的外星人玩具，然後把它們交給胡迪。"
"Village!ToyStory!Woody!VLG_Wood_030_DisplayName", "尋找外星人"
"Village!ToyStory!Woody!VLG_Wood_030_Group01_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我能做些什麼？"
"Village!ToyStory!Woody!VLG_Wood_030_Group01_Step01_Possess01_StepDescription", "{ItemName}"
"Village!ToyStory!Woody!VLG_Wood_030_Group01_Step01_Possess02_StepDescription", "{ItemName}"
"Village!ToyStory!Woody!VLG_Wood_030_Group01_Step01_Possess03_StepDescription", "{ItemName}"
"Village!ToyStory!Woody!VLG_Wood_030_Group01_Step01_StepDescription", "收集材料製作新的<ActivityItem>抓娃娃機</ActivityItem>："
"Village!ToyStory!Woody!VLG_Wood_030_Group02_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我該做什麼？"
"Village!ToyStory!Woody!VLG_Wood_030_Group02_Step02_CraftItem01_StepDescription", "製作新的<ActivityItem>抓娃娃機</ActivityItem>"
"Village!ToyStory!Woody!VLG_Wood_030_Group03_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我該做什麼？"
"Village!ToyStory!Woody!VLG_Wood_030_Group03_StepDescription", "在旋轉木馬裡與胡迪見面"
"Village!ToyStory!Woody!VLG_Wood_030_Group04_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>你需要什麼？"
"Village!ToyStory!Woody!VLG_Wood_030_Group04_Step04_ReadyDescription", "把{ItemName}交給胡迪"
"Village!ToyStory!Woody!VLG_Wood_030_Group04_Step04_StepDescription", "確保你的物品欄裡有{ItemName}"
"Village!ToyStory!Woody!VLG_Wood_030_Group05_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我能幫什麼忙？"
"Village!ToyStory!Woody!VLG_Wood_030_Group05_Step05_TalkToCharacter01_StepDescription", "和巴斯光年交談"
"Village!ToyStory!Woody!VLG_Wood_030_Group05_StoryDescription", "修好抓娃娃機之後，該去尋找外星人玩具了。你打算和另一個太空專家巴斯光年談談。"
"Village!ToyStory!Woody!VLG_Wood_030_Group07_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我該做什麼？"
"Village!ToyStory!Woody!VLG_Wood_030_Group07_Step07_BringItem02_StepDescription", "炫麗海灘的沙子下面"
"Village!ToyStory!Woody!VLG_Wood_030_Group07_Step07_BringItem03_StepDescription", "瀑布附近的冰裡"
"Village!ToyStory!Woody!VLG_Wood_030_Group07_Step07_BringItem04_StepDescription", "大柳樹附近"
"Village!ToyStory!Woody!VLG_Wood_030_Group07_Step07_BringItem05_StepDescription", "刀疤的洞穴裡"
"Village!ToyStory!Woody!VLG_Wood_030_Group07_Step07_ReadyDescription", "把<ActivityItem>外星人玩具</ActivityItem>交給胡迪。"
"Village!ToyStory!Woody!VLG_Wood_030_Group07_Step07_StepDescription", "找到<ActivityItem>外星人玩具</ActivityItem>："
"Village!ToyStory!Woody!VLG_Wood_030_StartRequestButton", "<smallcaps>{title}</smallcaps><br>開始任務"
