"Village!Mickey!Minnie!VLG_Minn_010_Any_CompletedRequestDescription", "回去找米妮"
"Village!Mickey!Minnie!VLG_Minn_010_AvailableDescription", "米妮想和你一起玩一會兒。"
"Village!Mickey!Minnie!VLG_Minn_010_CompletedStoryDescription", "米奇很喜歡那份禮物並且希望你代表他謝謝米妮。去幫他傳個話吧。"
"Village!Mickey!Minnie!VLG_Minn_010_DisplayName", "語言之花"
"Village!Mickey!Minnie!VLG_Minn_010_Group01_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我們要做什麼？"
"Village!Mickey!Minnie!VLG_Minn_010_Group01_StepDescription", "跟米妮去森林採摘<ActivityItem>藍星百合</ActivityItem>"
"Village!Mickey!Minnie!VLG_Minn_010_Group01_StoryDescription", "米妮被村子裡的花給迷住了，她想採一些送給米奇。你決定幫助她。"
"Village!Mickey!Minnie!VLG_Minn_010_Group02_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該做什麼？"
"Village!Mickey!Minnie!VLG_Minn_010_Group02_Step02_Possess01_StepDescription", "<ActivityItem>米妮的特別花盆</ActivityItem>"
"Village!Mickey!Minnie!VLG_Minn_010_Group02_Step02_Possess02_StepDescription", "<ActivityItem>紅白繡球花</ActivityItem>"
"Village!Mickey!Minnie!VLG_Minn_010_Group02_Step02_Possess03_StepDescription", "<ActivityItem>紅風鈴草</ActivityItem>"
"Village!Mickey!Minnie!VLG_Minn_010_Group02_Step02_Possess04_StepDescription", "<ActivityItem>藍星百合</ActivityItem>"
"Village!Mickey!Minnie!VLG_Minn_010_Group02_Step02_StepDescription", "收集以下物品來製作<ActivityItem>米妮的花束</ActivityItem>"
"Village!Mickey!Minnie!VLG_Minn_010_Group02_StoryDescription", "米妮不想把花直接給米奇，她想把它做成時尚的花束再給。幫她達成心願吧。"
"Village!Mickey!Minnie!VLG_Minn_010_Group03_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我可以幫你做什麼？"
"Village!Mickey!Minnie!VLG_Minn_010_Group03_StepDescription", "幫米妮把<ActivityItem>花束</ActivityItem>送給米奇"
"Village!Mickey!Minnie!VLG_Minn_010_Group04_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我們要做什麼？"
"Village!Mickey!Minnie!VLG_Minn_010_Group04_Step04_ReadyDescription", "把<ActivityItem>藍星百合</ActivityItem>帶給米妮"
"Village!Mickey!Minnie!VLG_Minn_010_Group04_Step04_StepDescription", "確保你的物品欄中有<ActivityItem>藍星百合</ActivityItem>"
"Village!Mickey!Minnie!VLG_Minn_010_Group05_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該做什麼？"
"Village!Mickey!Minnie!VLG_Minn_010_Group05_Step05_CraftItem01_StepDescription", "製作<ActivityItem>米妮的花束</ActivityItem>"
"Village!Mickey!Minnie!VLG_Minn_010_Group06_Step06_StepDescription", "和米妮交談"
"Village!Mickey!Minnie!VLG_Minn_010_StartRequestButton", "<smallcaps>{title}</smallcaps><br>開始任務"
