"Village!Mickey!Minnie!VLG_Minn_020_Any_CompletedRequestDescription", "和米妮交談"
"Village!Mickey!Minnie!VLG_Minn_020_AvailableDescription", "米妮在找你。"
"Village!Mickey!Minnie!VLG_Minn_020_CompletedStoryDescription", "看看米妮恢復記憶後感覺如何。"
"Village!Mickey!Minnie!VLG_Minn_020_DisplayName", "尋找米妮的記憶"
"Village!Mickey!Minnie!VLG_Minn_020_Group01_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我們需要什麼？"
"Village!Mickey!Minnie!VLG_Minn_020_Group01_Step01_TalkToCharacter01_StepDescription", "跟米奇交談"
"Village!Mickey!Minnie!VLG_Minn_020_Group02_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我們要去哪裡？"
"Village!Mickey!Minnie!VLG_Minn_020_Group02_StepDescription", "用<ActivityItem>夢幻星光放大器</ActivityItem>檢視草地上的<ActivityItem>閃光魚竿</ActivityItem>"
"Village!Mickey!Minnie!VLG_Minn_020_Group03_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該做什麼？"
"Village!Mickey!Minnie!VLG_Minn_020_Group03_StepDescription", "跟<ActivityItem>閃光魚竿</ActivityItem>互動"
"Village!Mickey!Minnie!VLG_Minn_020_Group04_Step04_TalkToCharacter02_StepDescription", "和米妮交談"
"Village!Mickey!Minnie!VLG_Minn_020_Group05_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我們要去哪裡？"
"Village!Mickey!Minnie!VLG_Minn_020_Group05_StepDescription", "使用</ActivityItem>夢幻星光放大器</ActivityItem>在沙灘上再找到一段遺失的<ActivityItem>記憶</ActivityItem>"
"Village!Mickey!Minnie!VLG_Minn_020_Group05_StoryDescription", "從米奇那獲得</ActivityItem>夢幻星光放大器</ActivityItem>後，你設法找回了<ActivityItem>閃光魚竿</ActivityItem>。你正在尋找米妮遺失的記憶。現在只剩一件事要做……就是追蹤它。"
"Village!Mickey!Minnie!VLG_Minn_020_Group06_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該做什麼？"
"Village!Mickey!Minnie!VLG_Minn_020_Group06_StepDescription", "跟漂浮的<ActivityItem>閃光包裹</ActivityItem>互動"
"Village!Mickey!Minnie!VLG_Minn_020_Group07_StepDescription", "和米妮交談"
"Village!Mickey!Minnie!VLG_Minn_020_Group08_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我們要做什麼？"
"Village!Mickey!Minnie!VLG_Minn_020_Group08_StepDescription", "聽米妮跟米奇交談"
"Village!Mickey!Minnie!VLG_Minn_020_Group09_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我們應該去哪兒？"
"Village!Mickey!Minnie!VLG_Minn_020_Group09_StepDescription", "跟漂浮的<ActivityItem>閃光包裹</ActivityItem>互動"
"Village!Mickey!Minnie!VLG_Minn_020_Group10_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我們要去哪裡？"
"Village!Mickey!Minnie!VLG_Minn_020_Group10_StepDescription", "使用<ActivityItem>夢幻星光放大鏡</ActivityItem>調查勇氣森林，尋找另一段遺失的<ActivityItem>回憶</ActivityItem>"
"Village!Mickey!Minnie!VLG_Minn_020_Group11_Step11_TalkToCharacter04_StepDescription", "和米妮交談"
"Village!Mickey!Minnie!VLG_Minn_020_Group12_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我們要做什麼？"
"Village!Mickey!Minnie!VLG_Minn_020_Group12_StepDescription", "跟米妮一起去看米奇"
"Village!Mickey!Minnie!VLG_Minn_020_Group12_StoryDescription", "米妮終於想起了米奇，快去告訴他這個好訊息。"
"Village!Mickey!Minnie!VLG_Minn_020_Group13_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我可以幫你做什麼？"
"Village!Mickey!Minnie!VLG_Minn_020_Group13_Step13_BringItem02_StepDescription", "確保你物品欄裡有{itemName}"
"Village!Mickey!Minnie!VLG_Minn_020_Group13_Step13_ReadyDescription", "和米奇交談"
"Village!Mickey!Minnie!VLG_Minn_020_Group13_StoryDescription", "跟米妮談過後，米奇迫不及待想找你談談。"
"Village!Mickey!Minnie!VLG_Minn_020_Group15_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我們要去哪裡？"
"Village!Mickey!Minnie!VLG_Minn_020_Group15_Step15_FollowCharacter01_StepDescription", "跟米妮去草地上的那個地點"
"Village!Mickey!Minnie!VLG_Minn_020_Group15_StoryDescription", "她告訴你，她一直被村莊裡同一個區域吸引，原因很神秘。這個謎團值得調查一下。"
"Village!Mickey!Minnie!VLG_Minn_020_Group16_Step16_TalkToCharacter05_StepDescription", "和米妮交談"
"Village!Mickey!Minnie!VLG_Minn_020_Group16_StoryDescription", "這個區域是有些古怪。"
"Village!Mickey!Minnie!VLG_Minn_020_StartRequestButton", "<smallcaps>{title}</smallcaps><br>開始任務"
