"Village!ToyStory!Buzz!VLG_Buzz_030_Any_CompletedRequestDescription", "回去找巴斯光年"
"Village!ToyStory!Buzz!VLG_Buzz_030_AvailableDescription", "巴斯光年在勇氣森林的河邊巡邏時，他的記憶開始恢復。他感覺到一場對抗邪惡的偉大戰鬥，但卻記不清楚了。你決定幫他恢復記憶。"
"Village!ToyStory!Buzz!VLG_Buzz_030_CompletedStoryDescription", "雖然<ActivityItem>記憶</ActivityItem>已經恢復，但你意識到巴斯光年過去在村裡的記憶並不完整。他該怎麼辦呢？"
"Village!ToyStory!Buzz!VLG_Buzz_030_DisplayName", "破碎的記憶"
"Village!ToyStory!Buzz!VLG_Buzz_030_Group01_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我們要去哪裡？"
"Village!ToyStory!Buzz!VLG_Buzz_030_Group01_StepDescription", "和巴斯光年一起前往勇氣森林的河畔"
"Village!ToyStory!Buzz!VLG_Buzz_030_Group02_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我該做什麼？"
"Village!ToyStory!Buzz!VLG_Buzz_030_Group02_StepDescription", "在勇氣森林中沿河尋找埋藏的和巴斯光年的過去有關的線索"
"Village!ToyStory!Buzz!VLG_Buzz_030_Group03_Step03_TalkToCharacter01_StepDescription", "和巴斯光年交談"
"Village!ToyStory!Buzz!VLG_Buzz_030_Group04_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我們要去哪裡？"
"Village!ToyStory!Buzz!VLG_Buzz_030_Group04_Step04_TalkToCharacter02_StepDescription", "和刀疤交談"
"Village!ToyStory!Buzz!VLG_Buzz_030_Group04_StoryDescription", "記憶揭示了一個更大的場景，刀疤和巴斯在打架。你決定和刀疤對質。"
"Village!ToyStory!Buzz!VLG_Buzz_030_Group06_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我該做什麼？"
"Village!ToyStory!Buzz!VLG_Buzz_030_Group06_Step06_BringItem01_StepDescription", "{ItemName}"
"Village!ToyStory!Buzz!VLG_Buzz_030_Group06_Step06_BringItem02_StepDescription", "{ItemName}"
"Village!ToyStory!Buzz!VLG_Buzz_030_Group06_Step06_ReadyDescription", "把食物交給刀疤"
"Village!ToyStory!Buzz!VLG_Buzz_030_Group06_Step06_StepDescription", "收集以下食物："
"Village!ToyStory!Buzz!VLG_Buzz_030_Group06_StoryDescription", "那隻獅子同意告訴你真相，但要食物來換。"
"Village!ToyStory!Buzz!VLG_Buzz_030_Group07_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我該做什麼？"
"Village!ToyStory!Buzz!VLG_Buzz_030_Group07_StepDescription", "在刀疤的洞穴尋找能證明他和巴斯光年過往友誼的物品"
"Village!ToyStory!Buzz!VLG_Buzz_030_Group08_Step08_TalkToCharacter03_StepDescription", "你找到了記憶的另一部分！和巴斯光年交談。"
"Village!ToyStory!Buzz!VLG_Buzz_030_Group09_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我能做些什麼？"
"Village!ToyStory!Buzz!VLG_Buzz_030_Group09_StepDescription", "從日照高原的河流找到下一條線索。"
"Village!ToyStory!Buzz!VLG_Buzz_030_Group09_StoryDescription", "刀疤聲稱他從未和巴斯光年打過架，還幫你找到了<ActivityItem>記憶</ActivityItem>的另一部分。秘密的最後一部分在日照高原的河邊。"
"Village!ToyStory!Buzz!VLG_Buzz_030_Group10_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我能做些什麼？"
"Village!ToyStory!Buzz!VLG_Buzz_030_Group10_StepDescription", "打開你的物品欄並調查<ActivityItem>舊釣魚竿</ActivityItem>"
"Village!ToyStory!Buzz!VLG_Buzz_030_Group11_StepDescription", "和巴斯光年交談"
"Village!ToyStory!Buzz!VLG_Buzz_030_Group12_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>你會怎麼做？"
"Village!ToyStory!Buzz!VLG_Buzz_030_Group12_StepDescription", "聽巴斯光年和刀疤交談"
"Village!ToyStory!Buzz!VLG_Buzz_030_StartRequestButton", "<smallcaps>{title}</smallcaps><br>開始任務"
