"Realm!ToyStory!Buzz!RLM_ToyStoryIP_Buzz_010_Any_CompletedRequestDescription", "在村裡和巴斯光年交談"
"Realm!ToyStory!Buzz!RLM_ToyStoryIP_Buzz_010_AvailableDescription", "你進入了一個陌生的新世界，這裡的一切小東西都變得很大。這裡有任何智慧生命的跡像嗎？"
"Realm!ToyStory!Buzz!RLM_ToyStoryIP_Buzz_010_CompletedStoryDescription", "你帶巴斯光年去村裡找材料……但也許他見到這個地方，記憶開始恢復，就會決定在這待久一點。"
"Realm!ToyStory!Buzz!RLM_ToyStoryIP_Buzz_010_DisplayName", "未知太空的秘密任務"
"Realm!ToyStory!Buzz!RLM_ToyStoryIP_Buzz_010_Group01_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>你好……？"
"Realm!ToyStory!Buzz!RLM_ToyStoryIP_Buzz_010_Group01_Step01_TalkToCharacter01_StepDescription", "探索玩具總動員王國"
"Realm!ToyStory!Buzz!RLM_ToyStoryIP_Buzz_010_Group02_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>唔……巴斯光年？"
"Realm!ToyStory!Buzz!RLM_ToyStoryIP_Buzz_010_Group02_Step02_BringItem01_StepDescription", "在房間裡尋找<ActivityItem>五號電池</ActivityItem>"
"Realm!ToyStory!Buzz!RLM_ToyStoryIP_Buzz_010_Group02_Step02_ReadyDescription", "把電池交給巴斯光年"
"Realm!ToyStory!Buzz!RLM_ToyStoryIP_Buzz_010_Group02_StoryDescription", "你遇見了巴斯光年，他被困在這個陌生的世界。但巴斯光年的燃料電池快耗盡了，導致他的所有功能都出現故障。你得把電池換掉才能跟他談話。"
"Realm!ToyStory!Buzz!RLM_ToyStoryIP_Buzz_010_Group03_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我要做什麼來著？"
"Realm!ToyStory!Buzz!RLM_ToyStoryIP_Buzz_010_Group03_Step03_BringItem02_StepDescription", "在房間裡尋找<ActivityItem>賽車軌道</ActivityItem>碎片"
"Realm!ToyStory!Buzz!RLM_ToyStoryIP_Buzz_010_Group03_Step03_ReadyDescription", "把<ActivityItem>賽車軌道</ActivityItem>交給巴斯光年，讓他修好軌道。"
"Realm!ToyStory!Buzz!RLM_ToyStoryIP_Buzz_010_Group03_StoryDescription", "當巴斯光年的電池恢復後，你發現還有一個更大的問題：警長鬍迪被踢出了窗外！你需要執行大膽的救援任務來救他。"
"Realm!ToyStory!Buzz!RLM_ToyStoryIP_Buzz_010_Group04_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我接下來該做什麼？"
"Realm!ToyStory!Buzz!RLM_ToyStoryIP_Buzz_010_Group04_StepDescription", "收集散落在房間裡的<ActivityItem>魔法仙人掌</ActivityItem>"
"Realm!ToyStory!Buzz!RLM_ToyStoryIP_Buzz_010_Group05_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>現在怎麼辦？"
"Realm!ToyStory!Buzz!RLM_ToyStoryIP_Buzz_010_Group05_StepDescription", "把<ActivityItem>魔法仙人掌</ActivityItem>放在地上的賽車軌道下面"
"Realm!ToyStory!Buzz!RLM_ToyStoryIP_Buzz_010_Group06_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>接下來怎麼做呢？"
"Realm!ToyStory!Buzz!RLM_ToyStoryIP_Buzz_010_Group06_Step06_MakeGarden01_StepDescription", "給賽車軌道下面的<ActivityItem>魔法仙人掌</ActivityItem>澆水"
"Realm!ToyStory!Buzz!RLM_ToyStoryIP_Buzz_010_Group07_Step07_TalkToCharacter02_StepDescription", "和巴斯光年交談"
"Realm!ToyStory!Buzz!RLM_ToyStoryIP_Buzz_010_Group08_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我要做什麼來著？"
"Realm!ToyStory!Buzz!RLM_ToyStoryIP_Buzz_010_Group08_Step08_VisitArea01_StepDescription", "去地上玩具烤箱旁邊的梯子那"
"Realm!ToyStory!Buzz!RLM_ToyStoryIP_Buzz_010_Group09_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我要做什麼來著？"
"Realm!ToyStory!Buzz!RLM_ToyStoryIP_Buzz_010_Group09_Step09_TalkToCharacter03_StepDescription", "和窗邊的胡迪談話"
"Realm!ToyStory!Buzz!RLM_ToyStoryIP_Buzz_010_Group09_StepDescription", "胡迪來了！"
"Realm!ToyStory!Buzz!RLM_ToyStoryIP_Buzz_010_Group10_Step10_TalkToCharacter04_StepDescription", "和巴斯光年交談"
"Realm!ToyStory!Buzz!RLM_ToyStoryIP_Buzz_010_Group10_StoryDescription", "胡迪獲救後，你發現他和巴斯光年正在為邦妮執行一項特殊計劃。"
"Realm!ToyStory!Buzz!RLM_ToyStoryIP_Buzz_010_Group11_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我該做什麼？"
"Realm!ToyStory!Buzz!RLM_ToyStoryIP_Buzz_010_Group11_StepDescription", "搜索房間，在有金色星星的彩色建築紙上拍下<Lore>邦妮的畫</Lore>的照片。"
"Realm!ToyStory!Buzz!RLM_ToyStoryIP_Buzz_010_Group12_Step12_TalkToCharacter05_StepDescription", "回去向巴斯光年報告"
"Realm!ToyStory!Buzz!RLM_ToyStoryIP_Buzz_010_Group13_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我要做什麼來著？"
"Realm!ToyStory!Buzz!RLM_ToyStoryIP_Buzz_010_Group13_Step13_PlaceBuilding01_StepDescription", "把巴斯光年的房車放在夢幻星谷。"
"Realm!ToyStory!Buzz!RLM_ToyStoryIP_Buzz_010_Group13_StoryDescription", "爲了完全按照邦妮的想像重建她的農場，你需要在村裡獲得一些材料。你自告奮勇建了一個指揮中心，這樣巴斯光年就可以在夢幻星谷進行偵察了。"
"Realm!ToyStory!Buzz!RLM_ToyStoryIP_Buzz_010_Group14_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我要做什麼來著？"
"Realm!ToyStory!Buzz!RLM_ToyStoryIP_Buzz_010_Group14_Step14_Unlock01_StepDescription", "點選史高治標識來支付巴斯光年房車的建築費"
"Realm!ToyStory!Buzz!RLM_ToyStoryIP_Buzz_010_Group15_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我該做什麼？"
"Realm!ToyStory!Buzz!RLM_ToyStoryIP_Buzz_010_Group15_Step15_UnlockCharacter01_StepDescription", "點選史高治標識來支付巴斯光年房車的建築費"
