"Village!ToyStory!Buzz!VLG_Buzz_040_Any_CompletedRequestDescription", "回去找巴斯光年"
"Village!ToyStory!Buzz!VLG_Buzz_040_AvailableDescription", "一想到巴斯光年和刀疤曾經是朋友，小太空騎警感到有點失落。你幫他意識到，也許英雄要做的不僅僅是和壞蛋戰鬥，他決定為之前的爭吵向烏蘇拉道歉。"
"Village!ToyStory!Buzz!VLG_Buzz_040_CompletedStoryDescription", "開幕儀式圓滿結束，但你應該詢問巴斯光年本人的意見。"
"Village!ToyStory!Buzz!VLG_Buzz_040_DisplayName", "英雄的定義"
"Village!ToyStory!Buzz!VLG_Buzz_040_Group01_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我們要去哪裡？"
"Village!ToyStory!Buzz!VLG_Buzz_040_Group01_Step01_Listen01_StepDescription", "見證巴斯光年給烏蘇拉道歉"
"Village!ToyStory!Buzz!VLG_Buzz_040_Group02_Step02_TalkToCharacter01_StepDescription", "和巴斯光年交談"
"Village!ToyStory!Buzz!VLG_Buzz_040_Group03_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我該做什麼？"
"Village!ToyStory!Buzz!VLG_Buzz_040_Group03_Step03_Possess01_StepDescription", "{ItemName}"
"Village!ToyStory!Buzz!VLG_Buzz_040_Group03_Step03_Possess02_StepDescription", "{ItemName}"
"Village!ToyStory!Buzz!VLG_Buzz_040_Group03_Step04_StepDescription", "製作一些<ActivityItem>藍墨水</ActivityItem>"
"Village!ToyStory!Buzz!VLG_Buzz_040_Group03_StepDescription", "為製作<ActivityItem>太空騎警徽章</ActivityItem>收集材料："
"Village!ToyStory!Buzz!VLG_Buzz_040_Group04_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>接下來怎麼做呢？"
"Village!ToyStory!Buzz!VLG_Buzz_040_Group04_Step05_CraftItem02_StepDescription", "製作<ActivityItem>太空騎警徽章</ActivityItem>"
"Village!ToyStory!Buzz!VLG_Buzz_040_Group05_Step06_TalkToCharacter02_StepDescription", "和巴斯光年交談"
"Village!ToyStory!Buzz!VLG_Buzz_040_Group06_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我能做些什麼？"
"Village!ToyStory!Buzz!VLG_Buzz_040_Group06_Step07_ReadyDescription", "小米"
"Village!ToyStory!Buzz!VLG_Buzz_040_Group06_Step08_ReadyDescription", "莫娜"
"Village!ToyStory!Buzz!VLG_Buzz_040_Group06_Step09_ReadyDescription", "刀疤"
"Village!ToyStory!Buzz!VLG_Buzz_040_Group06_StepDescription", "把<ActivityItem>太空騎警徽章</ActivityItem>交給："
"Village!ToyStory!Buzz!VLG_Buzz_040_Group06_StoryDescription", "跟烏蘇拉道歉後，巴斯決定開辦一所星際指揮部學院，對所有人開放。他請求你幫忙選擇並招募頭三名學員。"
"Village!ToyStory!Buzz!VLG_Buzz_040_Group07_Step10_TalkToCharacter03_StepDescription", "和巴斯光年交談"
"Village!ToyStory!Buzz!VLG_Buzz_040_Group08_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我能做些什麼？"
"Village!ToyStory!Buzz!VLG_Buzz_040_Group08_Step11_CraftItem03_StepDescription", "{ItemName}"
"Village!ToyStory!Buzz!VLG_Buzz_040_Group08_Step11_CraftItem04_StepDescription", "{ItemName}"
"Village!ToyStory!Buzz!VLG_Buzz_040_Group08_StepDescription", "製作星際指揮部學院開幕儀式所需的物品："
"Village!ToyStory!Buzz!VLG_Buzz_040_Group08_StoryDescription", "既然新學員們同意加入星際指揮部學院，巴斯讓你為開幕儀式裝飾夢幻星谷。"
"Village!ToyStory!Buzz!VLG_Buzz_040_Group09_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>接下來怎麼做呢？"
"Village!ToyStory!Buzz!VLG_Buzz_040_Group09_Step12_Decorate01_StepDescription", "{ItemName}"
"Village!ToyStory!Buzz!VLG_Buzz_040_Group09_Step12_Decorate02_StepDescription", "{ItemName}"
"Village!ToyStory!Buzz!VLG_Buzz_040_Group09_Step12_StepDescription", "把為開幕儀式準備的所有物品放在巴斯光年的房車周圍："
"Village!ToyStory!Buzz!VLG_Buzz_040_Group10_StepDescription", "回去找巴斯光年"
"Village!ToyStory!Buzz!VLG_Buzz_040_Group11_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>還要做什麼？"
"Village!ToyStory!Buzz!VLG_Buzz_040_Group11_Step14_DressUp01_StepDescription", "{ItemName}"
"Village!ToyStory!Buzz!VLG_Buzz_040_Group11_Step14_DressUp02_StepDescription", "{ItemName}"
"Village!ToyStory!Buzz!VLG_Buzz_040_Group11_Step14_StepDescription", "穿上你的<ActivityItem>太空騎警制服</ActivityItem>(可選)"
"Village!ToyStory!Buzz!VLG_Buzz_040_Group11_Step15_StepDescription", "把<ActivityItem>太空騎警自助餐</ActivityItem>放在巴斯光年的房車附近"
"Village!ToyStory!Buzz!VLG_Buzz_040_Group11_StoryDescription", "出席儀式時別忘了穿上你的<ActivityItem>太空騎警制服</ActivityItem>"
"Village!ToyStory!Buzz!VLG_Buzz_040_Group12_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我該做什麼？"
"Village!ToyStory!Buzz!VLG_Buzz_040_Group12_Step16_Party01_StepDescription", "舉辦星際指揮部學院開幕儀式。"
"Village!ToyStory!Buzz!VLG_Buzz_040_StartRequestButton", "<smallcaps>{title}</smallcaps><br>開始任務"
