"Village!Ratatouille!Remy!VLG_Remy_020_Any_CompletedRequestDescription", "和小米交談。"
"Village!Ratatouille!Remy!VLG_Remy_020_AvailableDescription", "小米看上去很沮喪，你得找出原因。"
"Village!Ratatouille!Remy!VLG_Remy_020_CompletedStoryDescription", "該來看看小米是否喜歡你的作品了。"
"Village!Ratatouille!Remy!VLG_Remy_020_DisplayName", "小米的食譜書"
"Village!Ratatouille!Remy!VLG_Remy_020_Group01_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我該怎麼做？"
"Village!Ratatouille!Remy!VLG_Remy_020_Group01_Step01_TalkToCharacter01_StepDescription", "問問米奇有關小米的<ActivityItem>食譜書</ActivityItem>的事"
"Village!Ratatouille!Remy!VLG_Remy_020_Group01_StoryDescription", "他記得以前在夢幻星谷時，他還有很多食譜書，你不得不告訴他，是他把書留給了米奇。他讓你去找米奇。"
"Village!Ratatouille!Remy!VLG_Remy_020_Group03_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>你需要什麼？"
"Village!Ratatouille!Remy!VLG_Remy_020_Group03_Step03_Unlock01_StepDescription", "檢查米奇給你的清單"
"Village!Ratatouille!Remy!VLG_Remy_020_Group03_StoryDescription", "米奇把食譜書藏在了星谷各處，不過留了一張記錄著藏匿地點的清單。他把這張清單給你了。"
"Village!Ratatouille!Remy!VLG_Remy_020_Group04_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>你需要什麼？"
"Village!Ratatouille!Remy!VLG_Remy_020_Group04_Step04_BringItem02_StepDescription", "去料理鼠王王國看少了什麼"
"Village!Ratatouille!Remy!VLG_Remy_020_Group04_Step04_ReadyDescription", "把<ActivityItem>一袋花生</ActivityItem>交給小米。"
"Village!Ratatouille!Remy!VLG_Remy_020_Group04_StoryDescription", "四處尋找一陣後，你找到了一些食譜書，交到了它們的主人手裡。接著小米要你去他的地盤拿些<ActivityItem>花生</ActivityItem>。"
"Village!Ratatouille!Remy!VLG_Remy_020_Group05_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>接下來怎麼做呢？"
"Village!Ratatouille!Remy!VLG_Remy_020_Group05_Step05_CookMeal02_StepDescription", "烹飪含有<ActivityItem>花生</ActivityItem>的菜品"
"Village!Ratatouille!Remy!VLG_Remy_020_Group05_StepDescription", "(前往物品欄使用小米給你的食譜來製作美食！)"
"Village!Ratatouille!Remy!VLG_Remy_020_Group05_StoryDescription", "既然你把<ActivityItem>花生</ActivityItem>帶回了星谷，小米讓你挑戰用花生來做菜。"
"Village!Ratatouille!Remy!VLG_Remy_020_Group09_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我要做什麼？"
"Village!Ratatouille!Remy!VLG_Remy_020_Group09_Step09_BringItem03_StepDescription", "第一本食譜書的位置"
"Village!Ratatouille!Remy!VLG_Remy_020_Group09_Step09_BringItem04_StepDescription", "第二本食譜書的位置"
"Village!Ratatouille!Remy!VLG_Remy_020_Group09_Step09_BringItem05_StepDescription", "第三本食譜書的位置。"
"Village!Ratatouille!Remy!VLG_Remy_020_Group09_Step09_ReadyDescription", "把所有食譜書交給小米。"
"Village!Ratatouille!Remy!VLG_Remy_020_Group09_Step09_StepDescription", "利用<ActivityItem>米奇的記憶</ActivityItem>找到藏起來的食譜書："
"Village!Ratatouille!Remy!VLG_Remy_020_StartRequestButton", "<smallcaps>{title}</smallcaps><br>開始任務"
