"Village!Ratatouille!Remy!VLG_Remy_030_Any_CompletedRequestDescription", "回到小米處。"
"Village!Ratatouille!Remy!VLG_Remy_030_AvailableDescription", "小米看起來有點不知所措。"
"Village!Ratatouille!Remy!VLG_Remy_030_CompletedStoryDescription", "服務完成，每張桌子上都上好了菜。該來看看你的表現如何了。"
"Village!Ratatouille!Remy!VLG_Remy_030_DisplayName", "成名的代價"
"Village!Ratatouille!Remy!VLG_Remy_030_Group01_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我該怎麼做？"
"Village!Ratatouille!Remy!VLG_Remy_030_Group01_Step01_StepDescription", "小米給了你一套廚師服，快穿上它們。"
"Village!Ratatouille!Remy!VLG_Remy_030_Group01_StoryDescription", "他有個快樂的煩惱。他的餐廳經營得很好，他快忙不過來了。他需要一位副廚，工作服剛好很合你的身……"
"Village!Ratatouille!Remy!VLG_Remy_030_Group02_Step02_TalkToCharacter01_StepDescription", "讓小米看看你的廚師服"
"Village!Ratatouille!Remy!VLG_Remy_030_Group03_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我可以幫什麼忙？"
"Village!Ratatouille!Remy!VLG_Remy_030_Group03_Step03_ServeRestaurantOrder01_StepDescription", "幫小米處理餐廳客人的點單"
"Village!Ratatouille!Remy!VLG_Remy_030_Group03_StoryDescription", "穿上合適的衣服，你就能幫小米應付源源不斷的點單了。"
"Village!Ratatouille!Remy!VLG_Remy_030_StartRequestButton", "<smallcaps>{title}</smallcaps><br>開始任務"
