"Realm!Moana!Maui!RLM_MoanaIP_Maui_010_Any_CompletedRequestDescription", "去找毛伊彙報你的成果"
"Realm!Moana!Maui!RLM_MoanaIP_Maui_010_AvailableDescription", "該去莫阿娜的王國見毛伊了"
"Realm!Moana!Maui!RLM_MoanaIP_Maui_010_CompletedStoryDescription", "你的全新改良鎬頭完成了任務，莫阿娜的獨木舟又能在大海上自由航行了。回去告訴毛伊吧。"
"Realm!Moana!Maui!RLM_MoanaIP_Maui_010_DisplayName", "了不起的毛伊"
"Realm!Moana!Maui!RLM_MoanaIP_Maui_010_Group01_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該做什麼？"
"Realm!Moana!Maui!RLM_MoanaIP_Maui_010_Group01_Step01_TalkToCharacter01_StepDescription", "去見莫阿娜！她能幫你瞭解毛伊。"
"Realm!Moana!Maui!RLM_MoanaIP_Maui_010_Group01_StoryDescription", "毛伊拒絕和你交談，因為他不確定你是否瞭解他。你決定去找莫阿娜幫忙。"
"Realm!Moana!Maui!RLM_MoanaIP_Maui_010_Group02_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>接下來呢？"
"Realm!Moana!Maui!RLM_MoanaIP_Maui_010_Group02_StepDescription", "去跟毛伊談談"
"Realm!Moana!Maui!RLM_MoanaIP_Maui_010_Group02_StoryDescription", "莫阿娜給了你一些要點，讓你能通過毛伊的測驗。沒有必要拖延不可避免的事。"
"Realm!Moana!Maui!RLM_MoanaIP_Maui_010_Group03_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我要怎麼測試我的鎬頭？"
"Realm!Moana!Maui!RLM_MoanaIP_Maui_010_Group03_StepDescription", "清理海洋殘骸，解救莫阿娜的獨木舟。"
"Realm!Moana!Maui!RLM_MoanaIP_Maui_010_Group03_StoryDescription", "既然你已經證明對毛伊很瞭解，半神也改進了你的鎬頭。你現在可以解救莫阿娜的獨木舟了。"
"Realm!Moana!Maui!RLM_MoanaIP_Maui_010_StartRequestButton", "<smallcaps>{title}</smallcaps><br>開始任務"
