"Village!Moana!Maui!VLG_Maui_040_Any_CompletedRequestDescription", "和毛伊交談"
"Village!Moana!Maui!VLG_Maui_040_AvailableDescription", "關於你上次幫毛伊找到的<ActivityItem>石灰巖</ActivityItem>，他有最新訊息。"
"Village!Moana!Maui!VLG_Maui_040_CompletedStoryDescription", "你的所作所為很可能讓毛伊大吃一驚。"
"Village!Moana!Maui!VLG_Maui_040_DisplayName", "夢幻星谷之心"
"Village!Moana!Maui!VLG_Maui_040_Group01_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該做什麼？"
"Village!Moana!Maui!VLG_Maui_040_Group01_Step01_VisitArea02_StepDescription", "前往城堡頂部的噴泉"
"Village!Moana!Maui!VLG_Maui_040_Group01_StoryDescription", "在<ActivityItem>石灰巖</ActivityItem>內部，你發現了一部分<ActivityItem>夢幻星谷之心</ActivityItem>，這是老谷主爲了保護城堡而製造的。另一半一定還在城堡裡，你得找到它。"
"Village!Moana!Maui!VLG_Maui_040_Group02_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>你需要什麼？"
"Village!Moana!Maui!VLG_Maui_040_Group02_Step02_CraftItem01_StepDescription", "在你的製造臺讓<ActivityItem>夢幻星谷之心</ActivityItem>恢復完好。"
"Village!Moana!Maui!VLG_Maui_040_Group03_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我要做什麼？"
"Village!Moana!Maui!VLG_Maui_040_Group03_Step03_Possess01_StepDescription", "<ActivityItem>霜寒高地的水</ActivityItem>。"
"Village!Moana!Maui!VLG_Maui_040_Group03_Step03_Possess02_StepDescription", "<ActivityItem>遺忘之地的水</ActivityItem>。"
"Village!Moana!Maui!VLG_Maui_040_Group03_Step03_Possess03_StepDescription", "{ItemName}"
"Village!Moana!Maui!VLG_Maui_040_Group03_Step03_StepDescription", "收集以下材料來修復<ActivityItem>夢幻星谷之心</ActivityItem>："
"Village!Moana!Maui!VLG_Maui_040_Group04_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該找誰聊聊？"
"Village!Moana!Maui!VLG_Maui_040_Group04_Step04_StepDescription", "和梅林交談。"
"Village!Moana!Maui!VLG_Maui_040_Group05_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>你需要什麼？"
"Village!Moana!Maui!VLG_Maui_040_Group05_StepDescription", "把<ActivityItem>夢幻星谷之心</ActivityItem>帶給毛伊"
"Village!Moana!Maui!VLG_Maui_040_Group07_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我們要去哪裡？"
"Village!Moana!Maui!VLG_Maui_040_Group07_Step09_StepDescription", "把<ActivityItem>夢幻星谷之心</ActivityItem>放置在城堡中雕像的手裡。"
"Village!Moana!Maui!VLG_Maui_040_Group07_StoryDescription", "你聽從梅林的建議，修復了<ActivityItem>夢幻星谷之心</ActivityItem>，準備將它放回原來的位置。"
"Village!Moana!Maui!VLG_Maui_040_Group08_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該做什麼？"
"Village!Moana!Maui!VLG_Maui_040_Group08_Step10_CraftItem02_StepDescription", "在你的製作臺清除<ActivityItem>石灰巖</ActivityItem>的外殼。"
"Village!Moana!Maui!VLG_Maui_040_Group08_StoryDescription", "他相信<ActivityItem>石灰巖</ActivityItem>中藏著一個秘密，想要打開它一探究竟。"
"Village!Moana!Maui!VLG_Maui_040_Group09_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該做什麼？"
"Village!Moana!Maui!VLG_Maui_040_Group09_StepDescription", "把你發現的<ActivityItem>碎片</ActivityItem>給毛伊看看"
"Village!Moana!Maui!VLG_Maui_040_Group10_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>你需要什麼？"
"Village!Moana!Maui!VLG_Maui_040_Group10_Step12_ReadyDescription", "和毛伊交談"
"Village!Moana!Maui!VLG_Maui_040_Group10_Step12_StepDescription", "尋找<ActivityItem>夢幻星谷之心</ActivityItem>缺失的碎片"
"Village!Moana!Maui!VLG_Maui_040_StartRequestButton", "<smallcaps>{title}</smallcaps><br>開始任務"
