"Village!Mickey!Mickey!VLG_Mick_040_Any_CompletedRequestDescription", "跟米奇談論米妮的情況"
"Village!Mickey!Mickey!VLG_Mick_040_AvailableDescription", "米奇知道如何讓米妮回來！"
"Village!Mickey!Mickey!VLG_Mick_040_CompletedStoryDescription", "他的甜心雖然回來了，但跟他有關的記憶卻消失了。你決定去看看米奇聽到這個訊息會有什麼反應。"
"Village!Mickey!Mickey!VLG_Mick_040_DisplayName", "回憶放大"
"Village!Mickey!Mickey!VLG_Mick_040_Group01_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該做什麼？"
"Village!Mickey!Mickey!VLG_Mick_040_Group01_Step01_VisitArea01_StepDescription", "在村裡尋找米妮"
"Village!Mickey!Mickey!VLG_Mick_040_Group01_StoryDescription", "既然你有辦法跟她交談，就要在村裡找到米妮。"
"Village!Mickey!Mickey!VLG_Mick_040_Group02_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>你需要什麼？"
"Village!Mickey!Mickey!VLG_Mick_040_Group02_Step02_PlaceHouse01_StepDescription", "在村裡放置米妮小屋"
"Village!Mickey!Mickey!VLG_Mick_040_Group02_StoryDescription", "米妮告訴你帶她回來的方法。要把她的小屋再次放在村裡。"
"Village!Mickey!Mickey!VLG_Mick_040_Group03_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該做什麼？"
"Village!Mickey!Mickey!VLG_Mick_040_Group03_Step03_Unlock01_StepDescription", "整理好米妮小屋，準備迎接她回家"
"Village!Mickey!Mickey!VLG_Mick_040_Group04_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該做什麼？"
"Village!Mickey!Mickey!VLG_Mick_040_Group04_Step04_TalkToCharacter01_StepDescription", "她就在那！去和米妮交談。"
"Village!Mickey!Mickey!VLG_Mick_040_Group04_StoryDescription", "你剛準備好小屋，米妮就出現了。是時候迎接她回村了。"
"Village!Mickey!Mickey!VLG_Mick_040_Group05_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>你需要什麼？"
"Village!Mickey!Mickey!VLG_Mick_040_Group05_Step05_Possess01_StepDescription", "<ActivityItem>綠寶石</ActivityItem>"
"Village!Mickey!Mickey!VLG_Mick_040_Group05_Step05_Possess02_StepDescription", "<ActivityItem>硬木</ActivityItem>"
"Village!Mickey!Mickey!VLG_Mick_040_Group05_Step09_CraftItem02_StepDescription", "製作<ActivityItem>鑄補零件</ActivityItem>"
"Village!Mickey!Mickey!VLG_Mick_040_Group05_StepDescription", "收集以下物品用來製作<ActivityItem>夢幻星光放大器</ActivityItem>："
"Village!Mickey!Mickey!VLG_Mick_040_Group05_StoryDescription", "如果你想把米妮找回來，就得製作一個<ActivityItem>夢幻星光放大器</ActivityItem>。這需要一些準備工作，首先得收集材料。"
"Village!Mickey!Mickey!VLG_Mick_040_Group06_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我得怎麼做？"
"Village!Mickey!Mickey!VLG_Mick_040_Group06_Step06_CraftItem01_StepDescription", "製作<ActivityItem>夢幻星光放大器</ActivityItem>"
"Village!Mickey!Mickey!VLG_Mick_040_Group07_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>你需要什麼？"
"Village!Mickey!Mickey!VLG_Mick_040_Group07_StepDescription", "跟米奇交談"
"Village!Mickey!Mickey!VLG_Mick_040_Group08_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該做什麼？"
"Village!Mickey!Mickey!VLG_Mick_040_Group08_Step08_TalkToCharacter02_StepDescription", "跟米妮交談"
"Village!Mickey!Mickey!VLG_Mick_040_Group09_Step10_TalkToCharacter03_StepDescription", "跟米奇交談"
"Village!Mickey!Mickey!VLG_Mick_040_StartRequestButton", "<smallcaps>{title}</smallcaps><br>開始任務"
