"Village!SwordInStone!Merlin!VLG_Merl_070_Any_CompletedRequestDescription", "和梅林交談"
"Village!SwordInStone!Merlin!VLG_Merl_070_AvailableDescription", "梅林有了一個神奇的計劃。"
"Village!SwordInStone!Merlin!VLG_Merl_070_CompletedStoryDescription", "你靠著自己升級了皇家灑水壺。梅林聽到這個訊息肯定會非常高興的。"
"Village!SwordInStone!Merlin!VLG_Merl_070_DisplayName", "最終試煉"
"Village!SwordInStone!Merlin!VLG_Merl_070_Group01_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我需要幫助！"
"Village!SwordInStone!Merlin!VLG_Merl_070_Group01_Step04_Possess01_StepDescription", "{ItemName}"
"Village!SwordInStone!Merlin!VLG_Merl_070_Group01_Step04_Possess02_StepDescription", "{ItemName}"
"Village!SwordInStone!Merlin!VLG_Merl_070_Group01_Step04_Possess03_StepDescription", "{ItemName}"
"Village!SwordInStone!Merlin!VLG_Merl_070_Group01_StepDescription", "收集書中提到的材料："
"Village!SwordInStone!Merlin!VLG_Merl_070_Group01_StoryDescription", "當你帶著材料回來的時候，梅林希望你自己製作魔法，因為你現在已經準備好成為巫師了。"
"Village!SwordInStone!Merlin!VLG_Merl_070_Group02_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我需要做什麼？"
"Village!SwordInStone!Merlin!VLG_Merl_070_Group02_Step06_CraftItem01_StepDescription", "製作魔法物品"
"Village!SwordInStone!Merlin!VLG_Merl_070_Group03_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我現在要做什麼？"
"Village!SwordInStone!Merlin!VLG_Merl_070_Group03_StepDescription", "讓梅林看看你的工作成果"
"Village!SwordInStone!Merlin!VLG_Merl_070_Group04_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我需要做什麼？"
"Village!SwordInStone!Merlin!VLG_Merl_070_Group04_Step02_BringItem02_StepDescription", "製作<ActivityItem>純凈夜之碎片</ActivityItem>"
"Village!SwordInStone!Merlin!VLG_Merl_070_Group04_Step02_ReadyDescription", "請瓦力幫忙碾碎<ActivityItem>純凈夜之碎片</ActivityItem>"
"Village!SwordInStone!Merlin!VLG_Merl_070_Group04_StoryDescription", "他有辦法進一步升級你的皇家灑水壺。你接受他的計劃時，他會給你一份要收集的材料清單。"
"Village!SwordInStone!Merlin!VLG_Merl_070_Group05_Step01_TalkToCharacter01_StepDescription", "跟梅林交談"
"Village!SwordInStone!Merlin!VLG_Merl_070_Group06_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我現在要做什麼？"
"Village!SwordInStone!Merlin!VLG_Merl_070_Group06_Step05_RemoveBlocker01_StepDescription", "移除<ActivityItem>擋路的大蘑菇</ActivityItem>"
"Village!SwordInStone!Merlin!VLG_Merl_070_Group06_StoryDescription", "你收集材料並親自製作魔法。現在該看看它的效果了。"
"Village!SwordInStone!Merlin!VLG_Merl_070_StartRequestButton", "<smallcaps>{title}</smallcaps><br>開始任務"
