"Village!SwordInStone!Merlin!VLG_Merl_020_Any_CompletedRequestDescription", "跟梅林交談"
"Village!SwordInStone!Merlin!VLG_Merl_020_AvailableDescription", "梅林喃喃自語著巡視村莊。他在做什麼呢？"
"Village!SwordInStone!Merlin!VLG_Merl_020_CompletedStoryDescription", "初步的測試成功了。梅林聽到這訊息肯定非常高興。"
"Village!SwordInStone!Merlin!VLG_Merl_020_DisplayName", "新魔法"
"Village!SwordInStone!Merlin!VLG_Merl_020_Group01_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>你需要什麼？"
"Village!SwordInStone!Merlin!VLG_Merl_020_Group01_Step01_BringItem01_StepDescription", "收集<ActivityItem>夢之碎片</ActivityItem>"
"Village!SwordInStone!Merlin!VLG_Merl_020_Group01_Step01_ReadyDescription", "把<ActivityItem>夢之碎片</ActivityItem>帶給梅林"
"Village!SwordInStone!Merlin!VLG_Merl_020_Group02_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該做什麼？"
"Village!SwordInStone!Merlin!VLG_Merl_020_Group02_StepDescription", "使用<ActivityItem>夢之碎片</ActivityItem>製作{itemName}"
"Village!SwordInStone!Merlin!VLG_Merl_020_Group02_StoryDescription", "巫師想研究夢幻星谷，需要你幫忙。他讓你給他帶些<ActivityItem>夢之碎片</ActivityItem>，他要用它們來製作藥劑。清理暗夜荊棘可以找到夢之碎片。"
"Village!SwordInStone!Merlin!VLG_Merl_020_Group03_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該做什麼？"
"Village!SwordInStone!Merlin!VLG_Merl_020_Group03_Step04_RemoveBlocker01_StepDescription", "給信仰林地入口處草地上的蘑菇澆水"
"Village!SwordInStone!Merlin!VLG_Merl_020_Group04_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我需要做什麼？"
"Village!SwordInStone!Merlin!VLG_Merl_020_Group04_Step09_BringItem02_StepDescription", "{itemName}"
"Village!SwordInStone!Merlin!VLG_Merl_020_Group04_Step09_BringItem03_StepDescription", "{itemName}"
"Village!SwordInStone!Merlin!VLG_Merl_020_Group04_Step09_BringItem04_StepDescription", "{itemName}"
"Village!SwordInStone!Merlin!VLG_Merl_020_Group04_Step09_BringItem05_StepDescription", "{itemName}"
"Village!SwordInStone!Merlin!VLG_Merl_020_Group04_Step09_ReadyDescription", "把你的發現帶給梅林"
"Village!SwordInStone!Merlin!VLG_Merl_020_Group04_Step09_StepDescription", "為梅林收集一些物品："
"Village!SwordInStone!Merlin!VLG_Merl_020_Group04_StoryDescription", "你意識到暗夜荊棘的數量遠遠多於你看到的。梅林讓你給他帶一些本地植物的樣本，好讓他繼續研究。"
"Village!SwordInStone!Merlin!VLG_Merl_020_Group05_StepDescription", "回到梅林那裡"
"Village!SwordInStone!Merlin!VLG_Merl_020_Group06_Step05_TalkToCharacter01_StepDescription", "跟梅林交談"
"Village!SwordInStone!Merlin!VLG_Merl_020_Group07_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我們要去哪裡？"
"Village!SwordInStone!Merlin!VLG_Merl_020_Group07_Step07_FollowCharacter01_StepDescription", "跟著梅林去信仰林地入口處的草地上尋找蘑菇"
"Village!SwordInStone!Merlin!VLG_Merl_020_Group07_StoryDescription", "巫師決定使用他的知識來升級你的皇家灑水壺，這樣你就能清理那些討厭的植物了，比如蘑菇。不過你要先測試一下。"
"Village!SwordInStone!Merlin!VLG_Merl_020_StartRequestButton", "<smallcaps>{title}</smallcaps><br>開始任務"
