"Village!LiloStitch!Stitch!VLG_Stit_010_Any_CompletedRequestDescription", "和史迪奇交談"
"Village!LiloStitch!Stitch!VLG_Stit_010_AvailableDescription", "你在寧靜草地找到了一些被破壞的標誌。看來史迪奇一直在騷擾唐老鴨。"
"Village!LiloStitch!Stitch!VLG_Stit_010_CompletedStoryDescription", "史迪奇向唐老鴨道歉了。現在去和他談談，看看他是不是真的吸取了教訓。"
"Village!LiloStitch!Stitch!VLG_Stit_010_DisplayName", "善良等級查詢"
"Village!LiloStitch!Stitch!VLG_Stit_010_Group01_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我該做什麼？"
"Village!LiloStitch!Stitch!VLG_Stit_010_Group01_Step01_TalkToCharacter01_StepDescription", "給唐老鴨看<ActivityItem>被破壞的標誌</ActivityItem>。"
"Village!LiloStitch!Stitch!VLG_Stit_010_Group01_StepDescription", "你找到了一個畫著唐老鴨奇怪畫像的標誌。"
"Village!LiloStitch!Stitch!VLG_Stit_010_Group02_Step02_TalkToCharacter02_StepDescription", "和史迪奇交談"
"Village!LiloStitch!Stitch!VLG_Stit_010_Group02_StoryDescription", "唐老鴨暴跳如雷，因為史迪奇一直在破壞他在村子裡設立的標誌。他要求你制止史迪奇的惡作劇。你決定幫助史迪奇更換被他破壞的標誌，向唐納德賠禮道歉。"
"Village!LiloStitch!Stitch!VLG_Stit_010_Group03_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我們在做什麼？"
"Village!LiloStitch!Stitch!VLG_Stit_010_Group03_Step03_Possess01_StepDescription", "{ItemName}"
"Village!LiloStitch!Stitch!VLG_Stit_010_Group03_Step03_Possess02_StepDescription", "{ItemName}"
"Village!LiloStitch!Stitch!VLG_Stit_010_Group03_Step03_Possess03_StepDescription", "寧靜草地入口附近的{ItemName}"
"Village!LiloStitch!Stitch!VLG_Stit_010_Group03_Step03_StepDescription", "收集材料來修理標誌："
"Village!LiloStitch!Stitch!VLG_Stit_010_Group04_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我該做什麼？"
"Village!LiloStitch!Stitch!VLG_Stit_010_Group04_Step04_BringItem01_StepDescription", "{ItemName}"
"Village!LiloStitch!Stitch!VLG_Stit_010_Group04_Step04_BringItem02_StepDescription", "{ItemName}"
"Village!LiloStitch!Stitch!VLG_Stit_010_Group04_Step04_BringItem03_StepDescription", "{ItemName}"
"Village!LiloStitch!Stitch!VLG_Stit_010_Group04_Step04_ReadyDescription", "把部分材料交給史迪奇"
"Village!LiloStitch!Stitch!VLG_Stit_010_Group05_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我該做什麼？"
"Village!LiloStitch!Stitch!VLG_Stit_010_Group05_Step05_CraftItem01_StepDescription", "在製作臺製作兩個<ActivityItem>唐老鴨標誌</ActivityItem>"
"Village!LiloStitch!Stitch!VLG_Stit_010_Group06_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該怎麼做？"
"Village!LiloStitch!Stitch!VLG_Stit_010_Group06_StepDescription", "向史迪奇展示修好的指示牌"
"Village!LiloStitch!Stitch!VLG_Stit_010_Group06_StoryDescription", "你幫助史迪奇修好了幾個標誌並教會了他如何做。"
"Village!LiloStitch!Stitch!VLG_Stit_010_Group07_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該怎麼做？"
"Village!LiloStitch!Stitch!VLG_Stit_010_Group07_Step07_Decorate01_StepDescription", "把<ActivityItem>唐老鴨標誌</ActivityItem>放在寧靜草地。"
"Village!LiloStitch!Stitch!VLG_Stit_010_Group07_StoryDescription", "在你的幫助下，史迪奇「修好」了一個標誌。"
"Village!LiloStitch!Stitch!VLG_Stit_010_Group08_Step08_TalkToCharacter04_StepDescription", "和史迪奇交談"
"Village!LiloStitch!Stitch!VLG_Stit_010_Group08_StoryDescription", "你幫助史迪奇在草地上放置標誌，讓唐老鴨知道你們尊重他的私人空間。"
"Village!LiloStitch!Stitch!VLG_Stit_010_Group09_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該怎麼做？"
"Village!LiloStitch!Stitch!VLG_Stit_010_Group09_Step09_Listen01_StepDescription", "聽史迪奇向唐老鴨道歉"
"Village!LiloStitch!Stitch!VLG_Stit_010_Group09_StoryDescription", "史迪奇幫你把修好的標誌放到了寧靜草地。要糾正錯誤，他只剩下一件事要做：向唐老鴨道歉。"
