"Village!Mickey!Scrooge!VLG_Scro_050_Any_CompletedRequestDescription", "跟史高治交談"
"Village!Mickey!Scrooge!VLG_Scro_050_AvailableDescription", "史高治的心情很糟，會是什麼原因呢？"
"Village!Mickey!Scrooge!VLG_Scro_050_CompletedStoryDescription", "你收集到了所有線索，回去向史高治彙報。"
"Village!Mickey!Scrooge!VLG_Scro_050_DisplayName", "尋寶"
"Village!Mickey!Scrooge!VLG_Scro_050_Group01_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該做什麼？"
"Village!Mickey!Scrooge!VLG_Scro_050_Group01_Step01_TalkToCharacter01_StepDescription", "和烏蘇拉交易，這樣你就能曝光她。"
"Village!Mickey!Scrooge!VLG_Scro_050_Group02_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該做什麼？"
"Village!Mickey!Scrooge!VLG_Scro_050_Group02_Step02_BringItem01_StepDescription", "遵守你和烏蘇拉的約定，收集{ItemName}。"
"Village!Mickey!Scrooge!VLG_Scro_050_Group02_Step02_ReadyDescription", "遵守你和烏蘇拉的約定，把{ItemName}帶給她。"
"Village!Mickey!Scrooge!VLG_Scro_050_Group02_StoryDescription", "檢查金幣的時候，金幣變成了一段<ActivityItem>回憶</ActivityItem>，讓你發現了接下來要搜尋的地點。"
"Village!Mickey!Scrooge!VLG_Scro_050_Group03_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>你需要什麼？"
"Village!Mickey!Scrooge!VLG_Scro_050_Group03_Step03_BringItem02_StepDescription", "從烏蘇拉那裡收集{ItemName}"
"Village!Mickey!Scrooge!VLG_Scro_050_Group03_Step03_ReadyDescription", "{ItemName}就是你和烏蘇拉交易的證據，把它交給史高治。"
"Village!Mickey!Scrooge!VLG_Scro_050_Group04_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該做什麼？"
"Village!Mickey!Scrooge!VLG_Scro_050_Group04_Step04_StepDescription", "和史高治一起去找烏蘇拉"
"Village!Mickey!Scrooge!VLG_Scro_050_Group04_StepDescription", "調查你物品欄裡的金幣"
"Village!Mickey!Scrooge!VLG_Scro_050_Group04_StoryDescription", "烏蘇拉給的金幣就是村莊裡有寶藏的證據。史高治很確信這一點。他需要你的幫助，還把金幣交給你仔細檢查。"
"Village!Mickey!Scrooge!VLG_Scro_050_Group05_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該做什麼？"
"Village!Mickey!Scrooge!VLG_Scro_050_Group05_Step05_Listen01_StepDescription", "史高治和烏蘇拉討論她的生意之道的時候，在旁邊聽著。"
"Village!Mickey!Scrooge!VLG_Scro_050_Group05_Step05_TalkToCharacter01_StepDescription", "和史高治討論<ActivityItem>回憶</ActivityItem>"
"Village!Mickey!Scrooge!VLG_Scro_050_StartRequestButton", "<smallcaps>{title}</smallcaps><br>開始任務"
