"Village!LilMermaid!Ariel!VLG_Arie_020_Any_CompletedRequestDescription", "跟愛麗兒談談你剛看到了什麼"
"Village!LilMermaid!Ariel!VLG_Arie_020_AvailableDescription", "愛麗兒很高興回來，但當她發現亞力克不知所蹤時她很擔心。你決定問問其他村民，是否有人記得他。"
"Village!LilMermaid!Ariel!VLG_Arie_020_CompletedStoryDescription", "在收集所有碎片並修復雕像後，你發現了一塊顯示亞力克與烏蘇拉談話的<ActivityItem>記憶碎片</ActivityItem>。你告訴愛麗兒，你會贏得海女巫的信任和友誼來解決這個問題。亞力克的生命現在掌握在你的手中。"
"Village!LilMermaid!Ariel!VLG_Arie_020_DisplayName", "失蹤的王子"
"Village!LilMermaid!Ariel!VLG_Arie_020_Group01_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該做什麼？"
"Village!LilMermaid!Ariel!VLG_Arie_020_Group01_Step01_TalkToCharacter01_StepDescription", "把亞力克雕像的碎片帶給克里斯托夫"
"Village!LilMermaid!Ariel!VLG_Arie_020_Group01_StoryDescription", "要找到亞力克，你需要問克里斯托夫是否還記得什麼，給他看你找到的亞力克雕像的碎片。"
"Village!LilMermaid!Ariel!VLG_Arie_020_Group02_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該去哪兒？"
"Village!LilMermaid!Ariel!VLG_Arie_020_Group02_Step02_Possess01_StepDescription", "搜索克里斯托夫的房子，尋找<ActivityItem>雕像碎片</ActivityItem>。"
"Village!LilMermaid!Ariel!VLG_Arie_020_Group03_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>需要我做些什麼？"
"Village!LilMermaid!Ariel!VLG_Arie_020_Group03_Step09_StepDescription", "向以下村民詢問亞力克的行蹤："
"Village!LilMermaid!Ariel!VLG_Arie_020_Group03_Step09_TalkToCharacter02_StepDescription", "梅林"
"Village!LilMermaid!Ariel!VLG_Arie_020_Group03_Step09_TalkToCharacter06_StepDescription", "毛伊"
"Village!LilMermaid!Ariel!VLG_Arie_020_Group03_Step09_TalkToCharacter07_StepDescription", "克里斯托夫"
"Village!LilMermaid!Ariel!VLG_Arie_020_Group04_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該找誰聊聊？"
"Village!LilMermaid!Ariel!VLG_Arie_020_Group04_Step04_TalkToCharacter03_StepDescription", "向唐老鴨詢問亞力克雕像的事"
"Village!LilMermaid!Ariel!VLG_Arie_020_Group04_StoryDescription", "克里斯托夫有雕像的另一個碎片，他把它用作鎮紙，並告訴你雕像的其餘部分是他和朋友唐老鴨一起打撈起來的。"
"Village!LilMermaid!Ariel!VLG_Arie_020_Group05_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我要找什麼？"
"Village!LilMermaid!Ariel!VLG_Arie_020_Group05_Step12_Possess04_StepDescription", "搜索克里斯托夫的房子，尋找<ActivityItem>探險記錄</ActivityItem>。"
"Village!LilMermaid!Ariel!VLG_Arie_020_Group05_StoryDescription", "克里斯托夫記得在探險中幫助過亞力克。他建議你搜索他的房子，檢視記錄，看看亞力克可能去了哪裡。"
"Village!LilMermaid!Ariel!VLG_Arie_020_Group06_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該做什麼？"
"Village!LilMermaid!Ariel!VLG_Arie_020_Group06_Step03_Possess02_StepDescription", "在信仰林地水域附近的地面上尋找第二個<ActivityItem>雕像碎片</ActivityItem>"
"Village!LilMermaid!Ariel!VLG_Arie_020_Group06_Step13_BringItem01_StepDescription", "為史高治找到{TargetAmount}個{ItemName}"
"Village!LilMermaid!Ariel!VLG_Arie_020_Group06_Step13_ReadyDescription", "把{TargetAmount}顆{ItemName}帶給史高治"
"Village!LilMermaid!Ariel!VLG_Arie_020_Group07_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>接下來怎麼做呢？"
"Village!LilMermaid!Ariel!VLG_Arie_020_Group07_Step07_TalkToCharacter04_StepDescription", "告訴愛麗兒你已收集到所有的雕像碎片"
"Village!LilMermaid!Ariel!VLG_Arie_020_Group08_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我該怎麼辦？"
"Village!LilMermaid!Ariel!VLG_Arie_020_Group08_Step08_CraftItem01_StepDescription", "在製作臺修復損壞的雕像"
"Village!LilMermaid!Ariel!VLG_Arie_020_Group09_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該去哪兒？"
"Village!LilMermaid!Ariel!VLG_Arie_020_Group09_Step05_TalkToCharacter05_StepDescription", "跟史高治談談他擁有的<ActivityItem>雕像碎片</ActivityItem>"
"Village!LilMermaid!Ariel!VLG_Arie_020_Group09_Step06_Possess03_StepDescription", "在信仰林地水域附近的地面上尋找第二個<ActivityItem>雕像碎片</ActivityItem>"
"Village!LilMermaid!Ariel!VLG_Arie_020_Group09_StoryDescription", "唐老鴨自己留了一個，埋在了信仰林地，還把最後一個送給了他的叔叔史高治。"
"Village!LilMermaid!Ariel!VLG_Arie_020_Group10_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>接下來怎麼做呢？"
"Village!LilMermaid!Ariel!VLG_Arie_020_Group10_Step10_StepDescription", "把<ActivityItem>亞力克的雕像</ActivityItem>放在炫麗海灘大樓梯的底座附近"
"Village!LilMermaid!Ariel!VLG_Arie_020_Group11_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該做什麼？"
"Village!LilMermaid!Ariel!VLG_Arie_020_Group11_Step11_Unlock01_StepDescription", "拾取<ActivityItem>記憶</ActivityItem>來檢視裡面的資訊"
"Village!LilMermaid!Ariel!VLG_Arie_020_Group12_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>你需要什麼？"
"Village!LilMermaid!Ariel!VLG_Arie_020_Group12_Step14_BringItem02_StepDescription", "在克里斯托夫的房子裡找到<ActivityItem>探險記錄</ActivityItem>"
"Village!LilMermaid!Ariel!VLG_Arie_020_Group12_Step14_ReadyDescription", "把<ActivityItem>探險記錄</ActivityItem>帶給克里斯托夫。"
"Village!LilMermaid!Ariel!VLG_Arie_020_Group13_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我要找什麼？"
"Village!LilMermaid!Ariel!VLG_Arie_020_Group13_StepDescription", "把你找到的東西交給愛麗兒"
"Village!LilMermaid!Ariel!VLG_Arie_020_Group13_StoryDescription", "亞力克的探險記錄中提到了絢麗海灘岸邊的一艘沉船。你釣上來一個雕像的臉，它看起來很像亞力克。"
"Village!LilMermaid!Ariel!VLG_Arie_020_Group14_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該做什麼？"
"Village!LilMermaid!Ariel!VLG_Arie_020_Group14_Step16_VisitArea01_StepDescription", "在絢麗海灘的骷髏巖附近搜尋線索"
"Village!LilMermaid!Ariel!VLG_Arie_020_Group15_OngoingRequestButton", "怎麼辦？"
"Village!LilMermaid!Ariel!VLG_Arie_020_Group15_Step17_Possess05_StepDescription", "嘗試在絢麗海灘的<Lore>骷髏巖右側</Lore>釣出線索"
"Village!LilMermaid!Ariel!VLG_Arie_020_StartRequestButton", "<smallcaps>{title}</smallcaps><br>開始任務"
