"Story!MRQS100_TakingCareOfThings_Any_CompletedRequestDescription", "和刀疤交談"
"Story!MRQS100_TakingCareOfThings_AvailableDescription", "日照高原上的一塊岩石裂開，露出一個神秘洞穴的入口……"
"Story!MRQS100_TakingCareOfThings_CompletedStoryDescription", "你的悉心照料讓日照高原恢復了生機。但遺忘族的秘密……仍未解開。"
"Story!MRQS100_TakingCareOfThings_DisplayName", "精心照料"
"Story!MRQS100_TakingCareOfThings_Group01_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我該怎麼做？"
"Story!MRQS100_TakingCareOfThings_Group01_Step01_VisitArea01_StepDescription", "調查日照高原上大象墓地的<ActivityItem>巨型骷髏</ActivityItem>"
"Story!MRQS100_TakingCareOfThings_Group02_Step02_TalkToCharacter01_StepDescription", "和刀疤交談"
"Story!MRQS100_TakingCareOfThings_Group02_StoryDescription", "你在那個巨型骷髏裡找到了刀疤，大遺忘發生沒多久他就被困在了這裡。刀疤建議你探索維塔利礦區，找到日照高原河流阻斷的原因。"
"Story!MRQS100_TakingCareOfThings_Group03_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我該怎麼做？"
"Story!MRQS100_TakingCareOfThings_Group03_Step05_Interaction01_StepDescription", "檢視維塔利礦區的桶旁邊的標誌"
"Story!MRQS100_TakingCareOfThings_Group04_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我該怎麼做？"
"Story!MRQS100_TakingCareOfThings_Group04_Step04_VisitArea02_StepDescription", "探索維塔利礦區，找到河流阻斷的原因"
"Story!MRQS100_TakingCareOfThings_Group05_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>接下來做什麼？"
"Story!MRQS100_TakingCareOfThings_Group05_StepDescription", "跟梅林交談"
"Story!MRQS100_TakingCareOfThings_Group06_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我該怎麼做？"
"Story!MRQS100_TakingCareOfThings_Group06_Step06_VisitArea03_StepDescription", "進入日照高原河口處的維塔利礦區"
"Story!MRQS100_TakingCareOfThings_Group07_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我該怎麼做？"
