"Story!MRQS090_TheCurse_Any_CompletedRequestDescription", "與葛索媽媽交談"
"Story!MRQS090_TheCurse_AvailableDescription", "梅林有事情要告訴你。"
"Story!MRQS090_TheCurse_CompletedStoryDescription", "修復柱子並打破詛咒之後，該回去找葛索媽媽了。"
"Story!MRQS090_TheCurse_DisplayName", "詛咒"
"Story!MRQS090_TheCurse_Group01_Step01_TalkToCharacter01_StepDescription", "向葛索媽媽介紹你自己"
"Story!MRQS090_TheCurse_Group02_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我該怎麼做？"
"Story!MRQS090_TheCurse_Group02_Step02_VisitArea01_StepDescription", "調查大樹裡面的房子"
"Story!MRQS090_TheCurse_Group03_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我該怎麼做？"
"Story!MRQS090_TheCurse_Group03_Step03_TalkToCharacter03_StepDescription", "和梅林討論詛咒"
"Story!MRQS090_TheCurse_Group03_Step03_TalkToCharacter04_StepDescription", "弄清楚烏蘇拉是否能幫你"
"Story!MRQS090_TheCurse_Group03_StoryDescription", "你得知只有海洋女巫才能幫你施展你需要的法術。"
"Story!MRQS090_TheCurse_Group04_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我該怎麼做？"
"Story!MRQS090_TheCurse_Group04_Step04_Possess02_StepDescription", "{ItemName}"
"Story!MRQS090_TheCurse_Group04_Step04_Possess03_StepDescription", "{ItemName}"
"Story!MRQS090_TheCurse_Group04_Step09_TalkToCharacter06_StepDescription", "說服克里斯托夫幫你施展法術"
"Story!MRQS090_TheCurse_Group04_StepDescription", "收集以下魔法材料："
"Story!MRQS090_TheCurse_Group05_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我該怎麼做？"
"Story!MRQS090_TheCurse_Group05_StepDescription", "聽聽梅林和烏蘇拉說什麼"
"Story!MRQS090_TheCurse_Group06_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我該怎麼做？"
"Story!MRQS090_TheCurse_Group06_Step06_TalkToCharacter05_StepDescription", "跟梅林交談"
"Story!MRQS090_TheCurse_Group07_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我該怎麼做？"
"Story!MRQS090_TheCurse_Group07_Step07_Possess01_StepDescription", "從浮島找回<ActivityItem>信仰寶珠</ActivityItem>"
"Story!MRQS090_TheCurse_Group08_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我該怎麼做？"
"Story!MRQS090_TheCurse_Group08_Step08_FillKeyhole01_StepDescription", "把<ActivityItem>信仰寶珠</ActivityItem>放回柱子"
"Story!MRQS090_TheCurse_Group09_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我該怎麼做？"
"Story!MRQS090_TheCurse_Group09_Step11_VisitArea02_StepDescription", "找到梅林"
"Story!MRQS090_TheCurse_Group09_StoryDescription", "<ActivityItem>信仰寶珠</ActivityItem>好像卡在兩個世界之間了。你需要魔法幫助。"
"Story!MRQS090_TheCurse_Group10_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我們要去哪裡？"
"Story!MRQS090_TheCurse_Group10_Step15_FollowCharacter01_TalkToDescription", "與葛索媽媽交談"
"Story!MRQS090_TheCurse_Group10_Step15_StepDescription", "跟隨葛索媽媽去林地的信仰之柱"
"Story!MRQS090_TheCurse_Group10_StoryDescription", "你發現了一座樹屋。被老谷主詛咒的葛索媽媽在裡面靜靜等待。打開門會釋放葛索媽媽的黑暗魔法，影響整個村莊。要解決這個問題，你需要修復信仰之柱。"
"Story!MRQS090_TheCurse_Group12_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我該怎麼做？"
"Story!MRQS090_TheCurse_Group12_Step13_BringItem01_StepDescription", "{ItemName}"
"Story!MRQS090_TheCurse_Group12_Step13_BringItem02_StepDescription", "{ItemName}"
"Story!MRQS090_TheCurse_Group12_Step13_ReadyDescription", "把食材交給烏蘇拉。"
"Story!MRQS090_TheCurse_Group12_Step13_StepDescription", "收集以下魔法材料："
"Story!MRQS090_TheCurse_Group12_StoryDescription", "克里斯托夫必須放棄與安娜有關的記憶，才能使魔法生效。他這麼做都是爲了拯救村莊。"
"Story!MRQS090_TheCurse_Group13_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我該怎麼做？"
"Story!MRQS090_TheCurse_Group13_Step14_VisitArea04_StepDescription", "調查信仰林地被詛咒的樹木"
"Story!MRQS090_TheCurse_Group14_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我該怎麼做？"
"Story!MRQS090_TheCurse_Group14_Step10_VisitArea03_StepDescription", "在你們首次相遇的洞穴與烏蘇拉見面"
