"Story!MRQS015_Pickaxe_Any_CompletedRequestDescription", "跟梅林交談"
"Story!MRQS015_Pickaxe_AvailableDescription", "梅林讓你去找回村莊裡丟失的<ActivityItem>皇家工具</ActivityItem>。他說鎬頭就嵌在廣場的某個巖石裡。而且從那以後，整個村莊就籠罩在了黑暗中。"
"Story!MRQS015_Pickaxe_CompletedStoryDescription", "將鎬頭從石頭裡拔出來就能驅散黑暗。在獲得了餘下的<ActivityItem>皇家工具</ActivityItem>後，你現在可以改變村莊了。"
"Story!MRQS015_Pickaxe_DisplayName", "皇家工具"
"Story!MRQS015_Pickaxe_Group01_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我要做什麼？"
"Story!MRQS015_Pickaxe_Group01_Step01_StepDescription", "在村莊裡找到<ActivityItem>皇家工具</ActivityItem>"
"Story!MRQS015_Pickaxe_Group01_Step01_Unlock01_StepDescription", "在廣場找到皇家鎬頭並將其從石頭裡拔出來"
"Story!MRQS015_Pickaxe_Group01_Step01_Unlock02_StepDescription", "在廣場找到鏟子"
"Story!MRQS015_Pickaxe_Group01_Step01_Unlock03_StepDescription", "在廣場找到灑水壺"
"Story!MRQS015_Pickaxe_Group01_Step01_Unlock04_StepDescription", "在草地找到釣魚竿"
"Story!MRQS015_Pickaxe_Group02_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我要做什麼？"
"Story!MRQS015_Pickaxe_Group02_Step02_TalkToCharacter01_StepDescription", "跟梅林交談"
"Story!MRQS015_Pickaxe_Group02_Step03_Unlock05_StepDescription", "在廣場找到鏟子"
"Story!MRQS015_Pickaxe_Group02_Step03_Unlock06_StepDescription", "在廣場找到灑水壺"
"Story!MRQS015_Pickaxe_Group02_Step03_Unlock07_StepDescription", "在草地找到釣魚竿"
"Story!MRQS015_Pickaxe_Group02_StepDescription", "在村莊裡找到<ActivityItem>皇家工具</ActivityItem>"
"Story!MRQS015_Pickaxe_Group02_StoryDescription", "你找到了一塊裡面嵌有鎬頭的巖石。你將鎬頭拔了出來，感到它渾身充滿了魔法能量。"
