"Story!MRQS050_MeetMickey_Any_CompletedRequestDescription", "跟米奇交談"
"Story!MRQS050_MeetMickey_AvailableDescription", "看樣子暗夜荊棘已經影響到米奇了！你去問問他有什麼可以幫忙的……"
"Story!MRQS050_MeetMickey_CompletedStoryDescription", "既然你找到了<ActivityItem>水果沙拉</ActivityItem>的食譜，是時候跟米奇聊聊接下來該做什麼了。"
"Story!MRQS050_MeetMickey_DisplayName", "米奇的記憶"
"Story!MRQS050_MeetMickey_Group01_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我該怎麼做？"
"Story!MRQS050_MeetMickey_Group01_Step01_StepDescription", "你找到了食譜！"
"Story!MRQS050_MeetMickey_Group01_Step01_Unlock01_StepDescription", "使用背包裡的<ActivityItem>水果沙拉食譜</ActivityItem>"
"Story!MRQS050_MeetMickey_Group01_StoryDescription", "你不僅找到了<ActivityItem>水果沙拉</ActivityItem>的食譜，還發現了新工具：鏟子！"
"Story!MRQS050_MeetMickey_Group02_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>如何找到食譜？"
"Story!MRQS050_MeetMickey_Group02_Step02_Possess01_StepDescription", "搜尋區域找到食譜"
"Story!MRQS050_MeetMickey_Group02_Step02_StepDescription", "(按{input_mainmenu}進入收藏檢視記憶)"
"Story!MRQS050_MeetMickey_Group02_StepDescription", "米奇在小米餐廳附近藏了份特別的食譜！"
"Story!MRQS050_MeetMickey_Group07_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我該怎麼做？"
"Story!MRQS050_MeetMickey_Group07_StepDescription", "清除米奇小屋裡的暗夜荊棘"
"Story!MRQS050_MeetMickey_Group08_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我們要怎麼處理<ActivityItem>記憶</ActivityItem>？"
"Story!MRQS050_MeetMickey_Group08_Step08_Unlock03_StepDescription", "使用{input_interact}調查<ActivityItem>記憶</ActivityItem>"
"Story!MRQS050_MeetMickey_Group09_Step09_TalkToCharacter03_StepDescription", "詢問米奇關於<ActivityItem>記憶</ActivityItem>的事"
"Story!MRQS050_MeetMickey_Group10_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我該怎麼做？"
"Story!MRQS050_MeetMickey_Group10_Step10_StepDescription", "(按{input_mainmenu}進入收藏檢視記憶)"
"Story!MRQS050_MeetMickey_Group10_Step10_VisitArea02_StepDescription", "找到<ActivityItem>米奇的記憶</ActivityItem>中的地點"
"Story!MRQS050_MeetMickey_Group10_StoryDescription", "這段<ActivityItem>記憶</ActivityItem>向你展示了夢幻星谷的過去。米奇跟你講了有關小米食譜的事。這位小主廚把所有食譜都交給了米奇保管。米奇將它們藏在星谷的各個地方以策萬全。<ActivityItem>水果沙拉</ActivityItem>的食譜就藏在村莊裡的某個地方。你需要找到它！"
"Story!MRQS050_MeetMickey_StartRequestButton", "<smallcaps>{title}</smallcaps><br>哇哦！我可以幫你做什麼嗎？"
