"Story!MRQS025_FriendshipIsEverything_Any_CompletedRequestDescription", "回到梅林那兒！"
"Story!MRQS025_FriendshipIsEverything_AvailableDescription", "梅林要在村裡給你看一些有趣的東西。"
"Story!MRQS025_FriendshipIsEverything_CompletedStoryDescription", "當你把<ActivityItem>友誼寶珠</ActivityItem>物歸原處後，草地上的許願井也擺脫了詛咒。"
"Story!MRQS025_FriendshipIsEverything_DisplayName", "友誼萬歲"
"Story!MRQS025_FriendshipIsEverything_Group01_Step01_TalkToCharacter01_StepDescription", "跟梅林交談"
"Story!MRQS025_FriendshipIsEverything_Group01_StoryDescription", "梅林帶你來到一塊頂上有洞的奇怪石頭前。它是用來幹嘛的呢？"
"Story!MRQS025_FriendshipIsEverything_Group03_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我怎樣才能成為村民們更好的朋友呢？"
"Story!MRQS025_FriendshipIsEverything_Group03_Step03_Friend01_StepDescription", "與三位村民達到友誼等級5"
"Story!MRQS025_FriendshipIsEverything_Group03_StoryDescription", "這個奇怪的石頭叫友誼之柱，它曾經是用來安放<ActivityItem>友誼寶珠</ActivityItem>的。但在老谷主消失後，<ActivityItem>寶珠</ActivityItem>就散落四處了。現在，<ActivityItem>友誼寶珠</ActivityItem>被困在了暗夜荊棘裡，想要解救它，你需要跟村民們共度時光來加深友誼。在夢幻星谷，這叫做「結伴出遊」。"
"Story!MRQS025_FriendshipIsEverything_Group04_Step04_TalkToCharacter02_StepDescription", "跟梅林交談"
"Story!MRQS025_FriendshipIsEverything_Group05_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我們現在該怎麼辦？"
"Story!MRQS025_FriendshipIsEverything_Group05_Step05_VisitArea02_StepDescription", "返回草地的柱子處"
"Story!MRQS025_FriendshipIsEverything_Group06_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我們現在該怎麼辦？"
"Story!MRQS025_FriendshipIsEverything_Group06_Step06_Possess01_StepDescription", "拾取<ActivityItem>友誼寶珠</ActivityItem>"
"Story!MRQS025_FriendshipIsEverything_Group07_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該用<ActivityItem>友誼寶珠</ActivityItem>來做什麼？"
"Story!MRQS025_FriendshipIsEverything_Group07_Step07_FillKeyhole01_StepDescription", "把<ActivityItem>友誼寶珠</ActivityItem>放到柱子上"
"Story!MRQS025_FriendshipIsEverything_Group08_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我該怎麼做？"
"Story!MRQS025_FriendshipIsEverything_Group08_Step08_Conditional01_StepDescription", "進入新區域"
"Story!MRQS025_FriendshipIsEverything_Group09_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br><ActivityItem>寶珠</ActivityItem>歸還後會發生什麼事？"
"Story!MRQS025_FriendshipIsEverything_Group09_Step10_FollowCharacter01_StepDescription", "去檢視草地上的井"
"Story!MRQS025_FriendshipIsEverything_Group09_Step10_FollowCharacter01_TalkToDescription", "跟梅林聊聊井的事"
"Story!MRQS025_FriendshipIsEverything_Group10_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我們要去哪裡？"
"Story!MRQS025_FriendshipIsEverything_Group10_Step09_FollowCharacter02_StepDescription", "跟隨梅林去草地上的柱子處"
"Story!MRQS025_FriendshipIsEverything_StartRequestButton", "<smallcaps>{title}</smallcaps><br>你需要幫助嗎，梅林？"
