"Story!MRQS020_Castle_Any_CompletedRequestDescription", "這些門通往何方？去城堡找梅林談談。"
"Story!MRQS020_Castle_AvailableDescription", "梅林正在城堡等你。"
"Story!MRQS020_Castle_CompletedStoryDescription", "在裡面，你發現了門。梅林肯定知道更多詳情。"
"Story!MRQS020_Castle_DisplayName", "夢幻城堡"
"Story!MRQS020_Castle_Group01_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>你要去哪裡？"
"Story!MRQS020_Castle_Group01_Step01_FollowCharacter01_StepDescription", "跟隨梅林"
"Story!MRQS020_Castle_Group01_Step01_FollowCharacter01_TalkToDescription", "跟梅林交談"
"Story!MRQS020_Castle_Group01_StoryDescription", "他說堵住去路的巨型暗夜荊棘跟你之前遇到的不同。你需要更強大的魔法才能進入城堡。"
"Story!MRQS020_Castle_Group03_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我收集到的夢幻星光有什麼用？"
"Story!MRQS020_Castle_Group03_Step03_Unlock01_StepDescription", "解鎖夢幻城堡"
"Story!MRQS020_Castle_Group04_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>怎麼回事？"
"Story!MRQS020_Castle_Group04_Step04_VisitArea01_StepDescription", "進入夢幻城堡"
"Story!MRQS020_Castle_Group04_StoryDescription", "在許願井產生足夠的夢幻星光後，你將城堡從暗夜荊棘中解放出來。"
"Story!MRQS020_Castle_Group05_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>如何收集夢幻星光？"
"Story!MRQS020_Castle_Group05_Step06_Possess02_StepDescription", "收集{ItemName}來打開夢幻城堡"
"Story!MRQS020_Castle_Group05_Step11_RoyalDuties01_StepDescription", "完成<ActivityItem>夢幻星光任務</ActivityItem>。"
"Story!MRQS020_Castle_Group05_Step11_StepDescription", "(通過許願井或按{input_mainmenu}來進入夢幻星光選單。)"
"Story!MRQS020_Castle_Group05_StoryDescription", "梅林向你展示了村裡夢幻星光的來源：許願井。他鼓勵你研究一下，找出哪些活動會產生夢幻星光，因為你需要收集夢幻星光來打開夢幻城堡。"
"Story!MRQS020_Castle_Group06_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該去哪兒找米奇？"
"Story!MRQS020_Castle_Group06_Step05_Conditional02_StepDescription", "去米奇的小屋找米奇"
"Story!MRQS020_Castle_Group07_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>解鎖城堡我還缺什麼？"
"Story!MRQS020_Castle_Group07_Step08_StepDescription", "繼續探索星谷，找到四件<ActivityItem>皇家工具</ActivityItem>並跟梅林交談。"
"Story!MRQS020_Castle_Group08_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我們要去哪裡？"
"Story!MRQS020_Castle_Group08_Step07_FollowCharacter02_TalkToDescription", "跟梅林交談"
"Story!MRQS020_Castle_Group08_StepDescription", "梅林在夢幻城堡等你，去找他吧。"
"Story!MRQS020_Castle_Group10_Step10_TalkToCharacter04_StepDescription", "跟梅林交談"
