"Village!Moana!Moana!VLG_Moan_060_Any_CompletedRequestDescription", "和莫娜交談"
"Village!Moana!Moana!VLG_Moan_060_AvailableDescription", "莫娜有一個計劃想和你談談。"
"Village!Moana!Moana!VLG_Moan_060_CompletedStoryDescription", "因為你的行動，夢幻星谷的天空中出現了一個新的星座。莫娜知道會發生這種事嗎？"
"Village!Moana!Moana!VLG_Moan_060_DisplayName", "儀式"
"Village!Moana!Moana!VLG_Moan_060_Group01_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我得找到什麼？"
"Village!Moana!Moana!VLG_Moan_060_Group01_Step01_Possess01_StepDescription", "<ActivityItem>石頭</ActivityItem>"
"Village!Moana!Moana!VLG_Moan_060_Group01_Step01_Possess02_StepDescription", "<ActivityItem>鐵塊</ActivityItem>"
"Village!Moana!Moana!VLG_Moan_060_Group01_Step01_Possess03_StepDescription", "在莫娜王國中找到海螺"
"Village!Moana!Moana!VLG_Moan_060_Group01_StepDescription", "收集以下物品來打造<ActivityItem>榮耀基座</ActivityItem>"
"Village!Moana!Moana!VLG_Moan_060_Group01_StoryDescription", "受到莫圖努伊島傳統的啓發，莫娜想用你們一起找到的<ActivityItem>領袖碎片</ActivityItem>，來慶祝你在夢幻星谷傳統中的領袖地位。你也決定要向莫娜致敬，但首先需要為慶典制作一個榮耀基座。"
"Village!Moana!Moana!VLG_Moan_060_Group02_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該做什麼？"
"Village!Moana!Moana!VLG_Moan_060_Group02_StepDescription", "把<ActivityItem>榮耀基座</ActivityItem>放置在你的屋子附近"
"Village!Moana!Moana!VLG_Moan_060_Group03_Step06_TalkToCharacter01_StepDescription", "和莫娜交談"
"Village!Moana!Moana!VLG_Moan_060_Group05_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該做什麼？"
"Village!Moana!Moana!VLG_Moan_060_Group05_StepDescription", "把碎片放在<ActivityItem>榮耀基座</ActivityItem>上"
"Village!Moana!Moana!VLG_Moan_060_Group05_StoryDescription", "在你的屋子附近安放好榮耀基座後，你把<ActivityItem>領袖碎片</ActivityItem>放了上去。慶典的準備工作就此完成。"
"Village!Moana!Moana!VLG_Moan_060_Group07_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該做什麼？"
"Village!Moana!Moana!VLG_Moan_060_Group07_Step03_CraftItem01_StepDescription", "製作<ActivityItem>榮耀基座</ActivityItem>"
"Village!Moana!Moana!VLG_Moan_060_StartRequestButton", "<smallcaps>{title}</smallcaps><br>開始任務"
