"Village!Frozen!Elsa!VLG_Elsa_010_Any_CompletedRequestDescription", "和艾莎交談"
"Village!Frozen!Elsa!VLG_Elsa_010_AvailableDescription", "艾莎聽到了從勇氣森林的冰窟裡傳來的聲音，但看不到裡面。因為路被奇怪的冰擋住了，她的力量無法穿透。"
"Village!Frozen!Elsa!VLG_Elsa_010_CompletedStoryDescription", "她記得必須把它放在雕刻的牆上，這正是你決定要做的。"
"Village!Frozen!Elsa!VLG_Elsa_010_DisplayName", "突破冰障"
"Village!Frozen!Elsa!VLG_Elsa_010_Group01_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我們要去哪裡？"
"Village!Frozen!Elsa!VLG_Elsa_010_Group01_Step01_FollowCharacter01_StepDescription", "跟著艾莎前往冰窟"
"Village!Frozen!Elsa!VLG_Elsa_010_Group01_Step01_FollowCharacter01_TalkToDescription", "和艾莎交談"
"Village!Frozen!Elsa!VLG_Elsa_010_Group02_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我能做什麼？"
"Village!Frozen!Elsa!VLG_Elsa_010_Group02_Step02_Possess01_StepDescription", "<ActivityItem>一小瓶海水</ActivityItem>"
"Village!Frozen!Elsa!VLG_Elsa_010_Group02_Step02_Possess02_StepDescription", "<ActivityItem>向日葵</ActivityItem>"
"Village!Frozen!Elsa!VLG_Elsa_010_Group02_Step02_Possess03_StepDescription", "<ActivityItem>檸檬</ActivityItem>"
"Village!Frozen!Elsa!VLG_Elsa_010_Group02_Step02_Possess04_StepDescription", "<ActivityItem>甘蔗</ActivityItem>"
"Village!Frozen!Elsa!VLG_Elsa_010_Group02_Step02_Possess05_StepDescription", "<ActivityItem>大蒜</ActivityItem>"
"Village!Frozen!Elsa!VLG_Elsa_010_Group02_Step02_StepDescription", "收集以下<ActivityItem>暖夏藥劑</ActivityItem>的材料："
"Village!Frozen!Elsa!VLG_Elsa_010_Group02_StoryDescription", "艾莎說需要你的特殊魔法才能清除這些冰。你決定準備一種特殊的<ActivityItem>暖夏藥劑</ActivityItem>來改進你的<ActivityItem>鎬子</ActivityItem>。"
"Village!Frozen!Elsa!VLG_Elsa_010_Group03_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>接下來怎麼做呢？"
"Village!Frozen!Elsa!VLG_Elsa_010_Group03_Step03_CraftItem01_StepDescription", "製作<ActivityItem>暖夏藥劑</ActivityItem>"
"Village!Frozen!Elsa!VLG_Elsa_010_Group04_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>你需要什麼？"
"Village!Frozen!Elsa!VLG_Elsa_010_Group04_StepDescription", "把{ItemName}交給艾莎"
"Village!Frozen!Elsa!VLG_Elsa_010_Group05_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我們要去哪裡？"
"Village!Frozen!Elsa!VLG_Elsa_010_Group05_Step05_StepDescription", "進入冰窟"
"Village!Frozen!Elsa!VLG_Elsa_010_Group05_StoryDescription", "有了改進後的<ActivityItem>鎬子</ActivityItem>，現在你可以自由探索冰窟了。"
"Village!Frozen!Elsa!VLG_Elsa_010_Group06_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我該做什麼？"
"Village!Frozen!Elsa!VLG_Elsa_010_Group06_Step06_RemoveBlocker01_StepDescription", "清除冰窟裡的冰塊"
"Village!Frozen!Elsa!VLG_Elsa_010_Group07_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我們要去哪裡？"
"Village!Frozen!Elsa!VLG_Elsa_010_Group07_Step07_FollowCharacter02_StepDescription", "跟著艾莎探索冰窟"
"Village!Frozen!Elsa!VLG_Elsa_010_Group07_Step07_FollowCharacter02_TalkToDescription", "和艾莎交談"
"Village!Frozen!Elsa!VLG_Elsa_010_Group08_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我能做些什麼？"
"Village!Frozen!Elsa!VLG_Elsa_010_Group08_Step08_VisitArea03_StepDescription", "在洞穴深處找到聲音的來源"
"Village!Frozen!Elsa!VLG_Elsa_010_Group09_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我該做什麼？"
"Village!Frozen!Elsa!VLG_Elsa_010_Group09_Step09_Possess06_StepDescription", "拾起地上的{ItemName}"
"Village!Frozen!Elsa!VLG_Elsa_010_Group09_StoryDescription", "探索的過程中，你遇到了一個溝壑，艾莎用她的魔法建了一座她在冰裡感覺到的橋。"
"Village!Frozen!Elsa!VLG_Elsa_010_Group10_Step10_TalkToCharacter01_StepDescription", "和艾莎交談"
"Village!Frozen!Elsa!VLG_Elsa_010_Group10_StoryDescription", "在洞穴深處，你在地上發現一個奇怪的<ActivityItem>藍色紋章</ActivityItem>。艾莎肯定會對它感興趣。"
"Village!Frozen!Elsa!VLG_Elsa_010_Group11_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我該做什麼？"
"Village!Frozen!Elsa!VLG_Elsa_010_Group11_Step11_FillKeyhole01_StepDescription", "把<ActivityItem>藍色紋章</ActivityItem>放進有雕刻的牆上。"
"Village!Frozen!Elsa!VLG_Elsa_010_Group12_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我們要去哪裡？"
"Village!Frozen!Elsa!VLG_Elsa_010_Group12_StepDescription", "進入冰窟"
"Village!Frozen!Elsa!VLG_Elsa_010_StartRequestButton", "<smallcaps>{title}</smallcaps><br>開始任務"
