"Village!Frozen!Elsa!VLG_Elsa_020_Any_CompletedRequestDescription", "回去找艾莎"
"Village!Frozen!Elsa!VLG_Elsa_020_AvailableDescription", "艾莎想在夢幻星谷多一點家的感覺。你們決定一起準備以阿倫戴爾為靈感的美食。"
"Village!Frozen!Elsa!VLG_Elsa_020_CompletedStoryDescription", "找到了<ActivityItem>紫色紋章</ActivityItem>在牆上的位置。是時候回到艾莎身邊了。"
"Village!Frozen!Elsa!VLG_Elsa_020_DisplayName", "家的感覺"
"Village!Frozen!Elsa!VLG_Elsa_020_Group01_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我現在該怎麼做？"
"Village!Frozen!Elsa!VLG_Elsa_020_Group01_Step01_BringItem01_StepDescription", "{ItemName}"
"Village!Frozen!Elsa!VLG_Elsa_020_Group01_Step01_BringItem02_StepDescription", "<ActivityItem>蒲公英</ActivityItem>"
"Village!Frozen!Elsa!VLG_Elsa_020_Group01_Step01_BringItem03_StepDescription", "{ItemName}"
"Village!Frozen!Elsa!VLG_Elsa_020_Group01_Step01_BringItem04_StepDescription", "<ActivityItem>洋蔥</ActivityItem>"
"Village!Frozen!Elsa!VLG_Elsa_020_Group01_Step01_BringItem05_StepDescription", "<ActivityItem>空瓶子</ActivityItem>"
"Village!Frozen!Elsa!VLG_Elsa_020_Group01_Step01_ReadyDescription", "把材料帶給艾莎"
"Village!Frozen!Elsa!VLG_Elsa_020_Group01_Step01_StepDescription", "收集<ActivityItem>蒲公英糖漿</ActivityItem>的材料："
"Village!Frozen!Elsa!VLG_Elsa_020_Group02_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我該做什麼？"
"Village!Frozen!Elsa!VLG_Elsa_020_Group02_Step02_CatchFish01_StepDescription", "在雨天的林地裡釣到{ItemName}"
"Village!Frozen!Elsa!VLG_Elsa_020_Group03_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我需要什麼？"
"Village!Frozen!Elsa!VLG_Elsa_020_Group03_Step03_Possess01_StepDescription", "{itemName}"
"Village!Frozen!Elsa!VLG_Elsa_020_Group03_Step03_Possess02_StepDescription", "{itemName}"
"Village!Frozen!Elsa!VLG_Elsa_020_Group03_Step03_StepDescription", "確保你的物品欄裡有這些材料："
"Village!Frozen!Elsa!VLG_Elsa_020_Group04_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>接下來怎麼做呢？"
"Village!Frozen!Elsa!VLG_Elsa_020_Group04_Step04_CookMeal01_StepDescription", "烹飪{ItemName}"
"Village!Frozen!Elsa!VLG_Elsa_020_Group05_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>你需要什麼？"
"Village!Frozen!Elsa!VLG_Elsa_020_Group05_Step05_BringItem06_StepDescription", "確保你的物品欄裡有{ItemName}"
"Village!Frozen!Elsa!VLG_Elsa_020_Group05_Step05_BringItem07_StepDescription", "確保你的物品欄裡有{ItemName}"
"Village!Frozen!Elsa!VLG_Elsa_020_Group05_Step05_ReadyDescription", "把美食帶給艾莎"
"Village!Frozen!Elsa!VLG_Elsa_020_Group06_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我們要找什麼？"
"Village!Frozen!Elsa!VLG_Elsa_020_Group06_Step06_RemoveBlocker01_StepDescription", "在冰窟附近找出<ActivityItem>艾莎的神秘寶箱</ActivityItem>"
"Village!Frozen!Elsa!VLG_Elsa_020_Group06_StoryDescription", "品嚐了你們一起準備的美食後，艾莎想起了一件事。她在冰窟附近埋下了一個神秘的<ActivityItem>寶箱</ActivityItem>。你要去找到它。"
"Village!Frozen!Elsa!VLG_Elsa_020_Group07_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我該做什麼？"
"Village!Frozen!Elsa!VLG_Elsa_020_Group07_Step07_ReadyDescription", "把<ActivityItem>阿倫戴爾特級腌鯡魚</ActivityItem>給艾莎"
"Village!Frozen!Elsa!VLG_Elsa_020_Group07_Step07_StepDescription", "在冰窟附近拾取<ActivityItem>艾莎的神秘寶箱</ActivityItem>"
"Village!Frozen!Elsa!VLG_Elsa_020_Group08_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我能做些什麼？"
"Village!Frozen!Elsa!VLG_Elsa_020_Group08_Step08_FillKeyhole01_StepDescription", "把<ActivityItem>紫色紋章</ActivityItem>放進冰窟的牆上"
"Village!Frozen!Elsa!VLG_Elsa_020_Group08_StoryDescription", "你在<ActivityItem>寶箱</ActivityItem>裡找到一些<ActivityItem>阿倫戴爾特級腌鯡魚</ActivityItem>和另一個神秘的<ActivityItem>紋章</ActivityItem>。艾莎讓你把它放進冰窟的牆上。"
"Village!Frozen!Elsa!VLG_Elsa_020_StartRequestButton", "<smallcaps>{title}</smallcaps><br>開始任務"
