"Village!LionKing!Scar!VLG_Scar_010_Any_CompletedRequestDescription", "與刀疤交談。"
"Village!LionKing!Scar!VLG_Scar_010_AvailableDescription", "刀疤似乎很不安，但他不會告訴你原因，因為你看起來不夠高貴，不適合與他共事。你決定讓葛索媽媽給你做一件外套。"
"Village!LionKing!Scar!VLG_Scar_010_CompletedStoryDescription", "刀疤現在吃飽了，他應該能平靜下來了，不過只有一個辦法能確定。"
"Village!LionKing!Scar!VLG_Scar_010_DisplayName", "朋友不是食物"
"Village!LionKing!Scar!VLG_Scar_010_Group01_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該找誰聊聊？"
"Village!LionKing!Scar!VLG_Scar_010_Group01_Step01_TalkToCharacter01_StepDescription", "和小米交談"
"Village!LionKing!Scar!VLG_Scar_010_Group01_StoryDescription", "這件外套取得了極大的成功。刀疤告訴你他脾氣暴躁是因為他餓了。你決定在這頭獅子開始吃其他村民之前，去向小米尋求幫助。"
"Village!LionKing!Scar!VLG_Scar_010_Group04_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該找誰聊聊？"
"Village!LionKing!Scar!VLG_Scar_010_Group04_Step04_TalkToCharacter03_StepDescription", "與葛索媽媽交談。"
"Village!LionKing!Scar!VLG_Scar_010_Group05_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>接下來怎麼做呢？"
"Village!LionKing!Scar!VLG_Scar_010_Group05_Step05_BringItem01_StepDescription", "{ItemName}"
"Village!LionKing!Scar!VLG_Scar_010_Group05_Step05_BringItem02_StepDescription", "{ItemName}"
"Village!LionKing!Scar!VLG_Scar_010_Group05_Step05_ReadyDescription", "把壽司帶給小米"
"Village!LionKing!Scar!VLG_Scar_010_Group05_Step05_StepDescription", "確保你物品欄裡有餵食刀疤所需的東西"
"Village!LionKing!Scar!VLG_Scar_010_Group06_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我能幫什麼忙？"
"Village!LionKing!Scar!VLG_Scar_010_Group06_Step06_CookMeal01_StepDescription", "{ItemName}"
"Village!LionKing!Scar!VLG_Scar_010_Group06_Step06_CookMeal02_StepDescription", "{ItemName}"
"Village!LionKing!Scar!VLG_Scar_010_Group06_Step06_StepDescription", "為刀疤準備晚餐："
"Village!LionKing!Scar!VLG_Scar_010_Group07_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我該怎麼做？"
"Village!LionKing!Scar!VLG_Scar_010_Group07_Step07_BringItem03_StepDescription", "{ItemName}"
"Village!LionKing!Scar!VLG_Scar_010_Group07_Step07_BringItem04_StepDescription", "{ItemName}"
"Village!LionKing!Scar!VLG_Scar_010_Group07_Step07_BringItem05_StepDescription", "{ItemName}"
"Village!LionKing!Scar!VLG_Scar_010_Group07_Step07_BringItem06_StepDescription", "{ItemName}"
"Village!LionKing!Scar!VLG_Scar_010_Group07_Step07_ReadyDescription", "把材料帶給葛索媽媽"
"Village!LionKing!Scar!VLG_Scar_010_Group07_Step07_StepDescription", "收集做外套需要的材料："
"Village!LionKing!Scar!VLG_Scar_010_Group07_StoryDescription", "葛索媽媽同意幫助你，並讓你去找一些材料給她。"
"Village!LionKing!Scar!VLG_Scar_010_Group08_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我該怎麼做？"
"Village!LionKing!Scar!VLG_Scar_010_Group08_Step08_Listen01_StepDescription", "跟隨小米為刀疤提供食物"
"Village!LionKing!Scar!VLG_Scar_010_Group08_StoryDescription", "小廚師想把食物親手交給刀疤，確保一切完美無缺。你跟著一起，確保沒人會被吃掉。"
"Village!LionKing!Scar!VLG_Scar_010_Group09_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>接下來怎麼做呢？"
"Village!LionKing!Scar!VLG_Scar_010_Group09_Step09_DressUp01_StepDescription", "穿上{ItemName}"
"Village!LionKing!Scar!VLG_Scar_010_Group10_Step10_TalkToCharacter02_StepDescription", "回去找刀疤"
"Village!LionKing!Scar!VLG_Scar_010_StartRequestButton", "<smallcaps>{title}</smallcaps><br>開始任務"
