"Village!LionKing!Scar!VLG_Scar_040_AvailableDescription", "爲了感謝你的幫助，刀疤想請你去他家做客。當然了，食物的事得你來搞定。"
"Village!LionKing!Scar!VLG_Scar_040_DisplayName", "王者的誕生"
"Village!LionKing!Scar!VLG_Scar_040_Group01_Step01_TalkToCharacter01_StepDescription", "回去找刀疤"
"Village!LionKing!Scar!VLG_Scar_040_Group03_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我能幫什麼忙？"
"Village!LionKing!Scar!VLG_Scar_040_Group03_Step03_BringItem01_StepDescription", "{ItemName}"
"Village!LionKing!Scar!VLG_Scar_040_Group03_Step03_BringItem03_StepDescription", "{ItemName}"
"Village!LionKing!Scar!VLG_Scar_040_Group03_Step03_ReadyDescription", "將食物交給刀疤。"
"Village!LionKing!Scar!VLG_Scar_040_Group03_Step03_StepDescription", "確保你物品欄裡有和刀疤共進晚餐的餐食。"
"Village!LionKing!Scar!VLG_Scar_040_Group04_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該找誰聊聊？"
"Village!LionKing!Scar!VLG_Scar_040_Group04_Step04_TalkToCharacter02_StepDescription", "與梅林交談。"
"Village!LionKing!Scar!VLG_Scar_040_Group06_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>接下來怎麼做呢？"
"Village!LionKing!Scar!VLG_Scar_040_Group06_Step06_Possess01_StepDescription", "{ItemName}"
"Village!LionKing!Scar!VLG_Scar_040_Group06_Step06_Possess04_StepDescription", "{ItemName}"
"Village!LionKing!Scar!VLG_Scar_040_Group06_Step06_Possess05_StepDescription", "{ItemName}"
"Village!LionKing!Scar!VLG_Scar_040_Group06_Step06_Possess06_StepDescription", "{ItemName}"
"Village!LionKing!Scar!VLG_Scar_040_Group06_Step06_Possess07_StepDescription", "{ItemName}"
"Village!LionKing!Scar!VLG_Scar_040_Group06_Step06_StepDescription", "收集製作<ActivityItem>太陽鳥餵食器</ActivityItem>的材料。"
"Village!LionKing!Scar!VLG_Scar_040_Group06_StoryDescription", "你瞭解到你以前當谷主的時候，你將這頭獅子很在意的某件東西藏了起來，於是你去找梅林商量。老巫師說你要讓刀疤明白，作為一位統治者，要照顧到每一位臣民，包括最弱小的那些。"
"Village!LionKing!Scar!VLG_Scar_040_Group07_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我該怎麼做？"
"Village!LionKing!Scar!VLG_Scar_040_Group07_Step07_CraftItem01_StepDescription", "製作<ActivityItem>太陽鳥餵食器</ActivityItem>"
"Village!LionKing!Scar!VLG_Scar_040_Group08_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我們要做什麼？"
"Village!LionKing!Scar!VLG_Scar_040_Group08_Step08_Decorate01_StepDescription", "將<ActivityItem>太陽鳥餵食器</ActivityItem>放置到日照高原的池塘附近。"
"Village!LionKing!Scar!VLG_Scar_040_Group09_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>接下來怎麼做呢？"
"Village!LionKing!Scar!VLG_Scar_040_Group09_Step09_FeedCritter01_StepDescription", "將<ActivityItem>花朵</ActivityItem>餵給日照高原的太陽鳥。"
"Village!LionKing!Scar!VLG_Scar_040_Group11_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我們要去哪裡？"
"Village!LionKing!Scar!VLG_Scar_040_Group11_Step11_VisitArea01_StepDescription", "返回刀疤的洞穴。"
"Village!LionKing!Scar!VLG_Scar_040_Group12_Step12_TalkToCharacter05_StepDescription", "與刀疤交談。"
"Village!LionKing!Scar!VLG_Scar_040_Group13_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我能幫什麼忙？"
"Village!LionKing!Scar!VLG_Scar_040_Group13_Step13_BringItem02_StepDescription", "拾取刀疤洞穴裡出現的<ActivityItem>神秘的鏡子碎片</ActivityItem>。"
"Village!LionKing!Scar!VLG_Scar_040_Group13_Step13_ReadyDescription", "將<ActivityItem>魔鏡碎片</ActivityItem>交給刀疤。"
"Village!LionKing!Scar!VLG_Scar_040_Group13_StoryDescription", "最終，刀疤親口承認你是他的朋友後，魔咒終於破除了。也是時候讓他重新擁有他遺失的摯愛珍寶了。"
"Village!LionKing!Scar!VLG_Scar_040_Group14_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我該怎麼做？"
"Village!LionKing!Scar!VLG_Scar_040_Group14_Step14_Possess02_StepDescription", "{ItemName}"
"Village!LionKing!Scar!VLG_Scar_040_Group14_Step14_Possess03_StepDescription", "{ItemName}"
"Village!LionKing!Scar!VLG_Scar_040_Group14_Step14_StepDescription", "準備和刀疤共進晚餐的餐食。"
"Village!LionKing!Scar!VLG_Scar_040_Group15_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>接下來怎麼做呢？"
"Village!LionKing!Scar!VLG_Scar_040_Group15_Step15_VisitArea02_StepDescription", "到刀疤的洞穴找他。"
"Village!LionKing!Scar!VLG_Scar_040_Group16_Step16_TalkToCharacter06_StepDescription", "回去找刀疤"
"Village!LionKing!Scar!VLG_Scar_040_StartRequestButton", "<smallcaps>{title}</smallcaps><br>開始任務"
