"Village!WallE!WallE!VLG_Wall_030_Any_CompletedRequestDescription", "回去找瓦力"
"Village!WallE!WallE!VLG_Wall_030_AvailableDescription", "瓦力想給你看點東西。"
"Village!WallE!WallE!VLG_Wall_030_CompletedStoryDescription", "你在垃圾堆裡發現了一臺奇怪的機器。也許瓦力知道它的用處。"
"Village!WallE!WallE!VLG_Wall_030_DisplayName", "壓縮垃圾事件"
"Village!WallE!WallE!VLG_Wall_030_Group01_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>(繼續把機器交給瓦力)"
"Village!WallE!WallE!VLG_Wall_030_Group01_Step01_ReadyDescription", "<ActivityItem>壓縮垃圾</ActivityItem>裡有一臺奇怪的機器。把它交給瓦力。"
"Village!WallE!WallE!VLG_Wall_030_Group01_Step01_StepDescription", "<ActivityItem>壓縮垃圾</ActivityItem>裡有一臺奇怪的機器。把它撿起來！"
"Village!WallE!WallE!VLG_Wall_030_Group02_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>(繼續收集垃圾)"
"Village!WallE!WallE!VLG_Wall_030_Group02_StepDescription", "清除瓦力在村莊裡製作的{ItemName}"
"Village!WallE!WallE!VLG_Wall_030_Group02_StoryDescription", "很顯然，他決定壓縮一些垃圾塊。跟他解釋他不必收集垃圾後，你忙著清除他壓縮的垃圾塊。"
"Village!WallE!WallE!VLG_Wall_030_Group03_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我們要去哪裡？"
"Village!WallE!WallE!VLG_Wall_030_Group03_Step03_StepDescription", "跟隨瓦力"
"Village!WallE!WallE!VLG_Wall_030_Group03_StoryDescription", "他讓你跟隨他。"
"Village!WallE!WallE!VLG_Wall_030_Group04_Step04_StepDescription", "跟瓦力談談"
"Village!WallE!WallE!VLG_Wall_030_StartRequestButton", "<smallcaps>{title}</smallcaps><br>開始任務"
