"Village!WallE!WallE!VLG_Wall_010_Any_CompletedRequestDescription", "回去找瓦力"
"Village!WallE!WallE!VLG_Wall_010_AvailableDescription", "瓦力好像在村莊裡有點失落。"
"Village!WallE!WallE!VLG_Wall_010_CompletedStoryDescription", "和瓦力一起在星谷裡閑逛真有趣，但我們也要注意不要讓他有壓力。咱們去問問他對此行的看法吧。"
"Village!WallE!WallE!VLG_Wall_010_DisplayName", "回家真好！"
"Village!WallE!WallE!VLG_Wall_010_Group01_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>(繼續帶著瓦力參觀村莊)"
"Village!WallE!WallE!VLG_Wall_010_Group01_Step01_StepDescription", "跟瓦力一起採摘各種各樣的花"
"Village!WallE!WallE!VLG_Wall_010_Group01_Step02_StepDescription", "給村子裡的動物餵它們喜歡的食物"
"Village!WallE!WallE!VLG_Wall_010_Group01_StoryDescription", "他好像開心多了。聽到你說要和他一起在村莊裡採花並餵動物時，他興奮極了。"
"Village!WallE!WallE!VLG_Wall_010_Group02_Step03_TalkToCharacter01_StepDescription", "跟瓦力談談"
"Village!WallE!WallE!VLG_Wall_010_Group02_StoryDescription", "你希望，村民們的友好能讓瓦力感覺好一點，不過最好的辦法還是直接去問他。"
"Village!WallE!WallE!VLG_Wall_010_Group03_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>(把瓦力介紹給高飛)"
"Village!WallE!WallE!VLG_Wall_010_Group03_StepDescription", "跟高飛交談，把瓦力介紹給這位友好的鄰居"
"Village!WallE!WallE!VLG_Wall_010_Group03_StoryDescription", "小機器人還是很害羞，他不願走出自己的家門。你決定帶他去認識下鄰居。"
"Village!WallE!WallE!VLG_Wall_010_Group04_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>(繼續聽高飛和瓦力交談)"
"Village!WallE!WallE!VLG_Wall_010_Group04_StepDescription", "聽高飛和瓦力交談"
"Village!WallE!WallE!VLG_Wall_010_StartRequestButton", "<smallcaps>{title}</smallcaps><br>開始任務"
